query_duration,query_stream_id,query_id,data_scanned,cpu_time
3.551,8,12,231.89,449400
4.912,7,20,243.4,231550
3.174,10,12,430.26,834600
3.312,15,6,1945.6,1031910
24.926,19,5,17448.96,2356364
4.267,3,21,80.86,113140
3.274,5,14,131.05,87000
3.581,8,22,46.48,138740
3.457,8,14,313.68,203000
4.485,8,11,89.68,110040
4.609,8,12,231.89,449400
4.131,8,12,231.89,449400
4.32,8,16,22.34,229530
28.17,19,18,10874.88,73222080
3.572,8,13,137.23,1022140
3.396,8,16,22.34,229530
3.335,5,12,99.52,192600
29.817,15,21,5560.32,6675260
2.284,8,6,230.65,122430
3.878,8,19,309.56,361060
3.737,8,22,46.48,138740
1.979,8,6,230.65,122430
3.495,8,7,373.81,427630
8.337,8,8,441.41,472360
4.722,8,12,231.89,449400
7.576,12,8,1433.6,1552040
4.771,8,2,79.16,386050
7.808,8,21,680.89,791980
8.742,8,9,492.09,894950
4.803,3,7,47.45,61090
3.759,3,16,3.42,32790
5.112,8,4,171.69,407330
3.709,8,11,89.68,110040
3.227,8,13,137.23,1022140
8.797,8,21,680.89,791980
8.093,15,19,2744.32,3043220
32.56,19,18,10874.88,73222080
6.375,13,17,1218.56,1315330
3.633,8,15,630.71,324730
5.151,3,11,12.18,15720
3.279,8,22,46.48,138740
4.807,8,12,231.89,449400
5.432,3,8,64.36,67480
3.617,3,3,38.94,112050
6.681,11,11,202.01,267240
4.961,8,10,266.13,665770
5.893,16,11,719.1,1336200
7.072,14,20,2191.36,1991330
26.638,19,18,10874.88,73222080
7.425,8,17,266.05,297010
5.314,8,17,266.05,297010
3.74,8,13,137.23,1022140
4.238,5,15,251.44,139170
6.872,8,9,492.09,894950
4.433,8,11,89.68,110040
3.733,8,17,266.05,297010
6.85,15,2,412.6,3253850
6.222,15,15,5140.48,2737010
5.058,3,1,36.89,149560
6.696,8,8,441.41,472360
5.385,15,12,1986.56,3787800
5.622,15,1,2170.88,8824040
4.742,8,10,266.13,665770
4.422,8,11,89.68,110040
2.801,8,17,266.05,297010
7.2,8,8,441.41,472360
5.174,8,2,79.16,386050
3.362,8,11,89.68,110040
5.192,8,9,492.09,894950
3.197,5,6,98.91,52470
5.781,15,19,2744.32,3043220
4.61,5,19,129.23,154740
6.856,15,12,1986.56,3787800
8.298,13,12,1034.24,1990200
5.112,3,7,47.45,61090
4.276,8,3,274.96,784350
3.732,3,19,51.4,51580
1.852,3,6,32.98,17490
4.316,15,15,5140.48,2737010
6.928,8,9,492.09,894950
4.588,8,4,171.69,407330
4.812,8,2,79.16,386050
3.719,8,3,274.96,784350
25.777,19,18,10874.88,73222080
4.926,8,5,328.42,46333
3.424,8,3,274.96,784350
6.762,8,8,441.41,472360
11.222,16,20,4290.56,3936350
4.068,3,19,51.4,51580
10.634,15,9,4096.0,7543150
6.176,3,5,41.06,6619
3.182,8,1,258.01,1046920
22.9,19,18,10874.88,73222080
23.811,19,18,10874.88,73222080
6.025,8,21,680.89,791980
4.389,8,1,258.01,1046920
33.54,19,18,10874.88,73222080
3.08,8,14,313.68,203000
3.654,8,6,230.65,122430
5.317,8,12,231.89,449400
3.554,8,17,266.05,297010
3.978,3,22,6.29,19820
6.904,5,9,200.62,383550
4.321,5,19,129.23,154740
4.771,15,16,68.05,1934610
3.512,3,13,18.72,146020
5.069,8,5,328.42,46333
2.823,2,17,45.17,42430
9.568,8,9,492.09,894950
15.915,19,2,2478.08,19633400
5.908,14,12,1433.6,2760600
2.916,8,1,258.01,1046920
4.694,3,22,6.29,19820
5.722,3,8,64.36,67480
4.722,8,15,630.71,324730
4.84,8,5,328.42,46333
7.443,8,5,328.42,46333
6.075,3,2,10.0,55150
24.183,19,18,10874.88,73222080
3.578,8,16,22.34,229530
3.351,8,22,46.48,138740
4.162,8,12,231.89,449400
3.244,3,19,51.4,51580
7.548,5,5,130.69,19857
6.186,11,8,1167.36,1147160
10.63,13,9,2109.44,3963350
1.799,5,12,99.52,192600
8.904,15,15,5140.48,2737010
6.766,3,22,6.29,19820
5.35,5,2,39.35,165450
5.419,12,13,462.14,3358460
4.234,3,21,80.86,113140
4.674,15,1,2170.88,8824040
4.546,8,11,89.68,110040
2.965,8,13,137.23,1022140
4.412,8,2,79.16,386050
