Query,Data Size,N=1 Redshift,N=2 Redshift,N=4 Redshift,N=8 Redshift,Athena_1,Athena_2
16,125,10.2,4.3,3,2.15,7.56,268
16,202,16.5,7.5,4.4,3.05,8.82,432
16,356,26,27.8,16,13,9.98,772
17,1,6.8,0.2,0.66,0.54,8.834,42
17,10,4.2,0.6,0.7,0.75,8.525,447
17,23,3.8,1.9,1.6,1.0,8.06,1044
17,59,14.7,5.4,2.9,2.5,10.511,2652
17,85,22,7.3,3.9,3.7,14.669,3819
17,125,33,13.1,6.3,4.5,16.975,5877
17,202,54,25.1,11.1,6.6,25.496,9635
17,356,95,56,40,23,47.071,17231
18,1,0.9,0.75,0.7,0.65,4.524,19
18,10,5.43,1,2.8,1.2,7.361,208
18,23,18.11,7.3,6.9,3.427,482
18,59,66.1,14,12.3,7.06,7.907,1239
18,85,75.2,26,16.8,13.3,9.536,1781
18,125,133,43,32,15.7,12.61,2652
18,202,204,97,65,25.2,18.301,4341
18,356,535,184,115,69,27.23,7720
19,1,5.143,0.9,0.7,4.4,4.093,52
19,10,8.4,8,4,2.6,11.362,543
19,23,10.18,5,3,1.9,12.519,1259
19,59,18.3,8,7,4.7,6.226,3215
19,85,21.3,10,9,6.7,7.343,4638
19,125,25,14,10.5,7.2,9.262,7075
19,202,40,25,20.34,15.5,8.363,11571
19,356,105,48,29.609,33,12.076,20613
20,1,9,0.9,11.3,9.5,4.704,55
20,10,2.7,3.4,2.16,1,8.669,584
20,23,9.4,4.7,3.1,1.9,9.747,3819
20,59,23,6.2,4.3,3.1,8.69,3819
20,85,31,8.2,5.9,4.5,8.825,5519
20,125,47,15,9.9,8.6,10.734,8427
20,202,76,35,17,10.3,10.909,13844
20,356,322,46,26,18,11.645,24801
21,1,8.8,0.5,9.3,5,5.55,74
21,10,7.6,4,1.89,3.9,8.64,814
21,23,11.4,6.3,4.6,2.8,8.55,2222
21,59,38,15,10.5,11.5,10.09,5847
21,85,68,24,15,16.98,12.11,8499
21,125,90,43,31,20.1,14.90,12646
21,202,135,83,45,42.1,24.08,20705
21,356,407,126,90,48,29.54,36935
22,1,0.276,0.421,0.62,0.9,3.01,6
22,10,0.026,0.92,0.85,0.782,4.39,81
22,23,1.956,1.625,0.9,0.74,5.04,191
22,59,4.592,3.353,2.1,1.4,6.53,491
22,85,6.532,4.3,3.5,2.47,8.11,702
22,125,22.007,7,5.6,3.24,5.87,1064
22,202,27.303,9,7.2,5.2,6.09,1781
22,356,30.178,26,22,17,6.88,3215
