database_id,scale_factor,query_id,start,cpu_time,data_scanned
2,10,3,6999286.6,38417.142857142855,1557.6
2,10,4,6999589.0,19950.857142857145,987.2
2,10,22,7000544.6,6795.4285714285725,251.6
2,10,18,7000768.4,70518.85714285714,1064.0
2,10,9,7002425.5,43834.28571428571,2858.0
2,10,4,7002864.8,19950.857142857145,987.2
2,10,1,7003749.0,51277.71428571428,1475.6
2,10,18,7003949.0,70518.85714285714,1064.0
2,10,16,7004694.3,11242.285714285714,136.8
2,10,18,7005516.4,70518.85714285714,1064.0
2,10,17,7006143.6,14547.42857142857,1806.8000000000002
2,10,19,7006892.2,17684.571428571428,2056.0
2,10,10,7006965.9,32609.14285714286,1512.0
2,10,4,7007173.5,19950.857142857145,987.2
2,10,22,7007495.4,6795.4285714285725,251.6
2,10,2,7008773.9,18908.571428571428,400.0
2,10,2,7009003.8,18908.571428571428,400.0
2,10,18,7009823.9,70518.85714285714,1064.0
2,10,8,7010254.9,23136.0,2574.4
2,10,22,7011101.4,6795.4285714285725,251.6
2,10,16,7012245.4,11242.285714285714,136.8
2,10,15,7012705.6,15905.142857142855,3167.2000000000003
2,10,2,7014197.5,18908.571428571428,400.0
2,10,9,7014573.1,43834.28571428571,2858.0
2,10,4,7014947.2,19950.857142857145,987.2
2,10,4,7015376.9,19950.857142857145,987.2
2,10,3,7015541.2,38417.142857142855,1557.6
2,10,18,7015851.9,70518.85714285714,1064.0
2,10,10,7016399.3,32609.14285714286,1512.0
2,10,19,7016875.5,17684.571428571428,2056.0
2,10,22,7017695.0,6795.4285714285725,251.6
2,10,4,7017981.6,19950.857142857145,987.2
2,10,11,7018162.7,5389.714285714286,487.2
2,10,2,7018423.7,18908.571428571428,400.0
2,10,2,7020217.0,18908.571428571428,400.0
2,10,10,7020681.9,32609.14285714286,1512.0
2,10,11,7021298.5,5389.714285714286,487.2
2,10,4,7022226.8,19950.857142857145,987.2
2,10,22,7023354.7,6795.4285714285725,251.6
2,10,3,7023723.8,38417.142857142855,1557.6
2,10,2,7023753.9,18908.571428571428,400.0
2,10,11,7025739.7,5389.714285714286,487.2
2,10,19,7025999.2,17684.571428571428,2056.0
2,10,1,7026121.5,51277.71428571428,1475.6
2,10,9,7027856.4,43834.28571428571,2858.0
2,10,15,7028509.3,15905.142857142855,3167.2000000000003
2,10,3,7028813.2,38417.142857142855,1557.6
2,10,20,7029024.6,15877.714285714286,2149.6
2,10,3,7029255.4,38417.142857142855,1557.6
2,10,19,7030573.5,17684.571428571428,2056.0
2,10,10,7030972.1,32609.14285714286,1512.0
2,10,14,7031088.3,9942.857142857143,2080.0
2,10,12,7031292.9,22011.428571428572,1327.6
2,10,2,7031734.4,18908.571428571428,400.0
2,10,3,7031847.8,38417.142857142855,1557.6
2,10,8,7032027.4,23136.0,2574.4
2,10,6,7032410.3,5996.571428571428,1319.1999999999998
2,10,11,7033361.6,5389.714285714286,487.2
2,10,2,7033960.6,18908.571428571428,400.0
2,10,1,7035123.0,51277.71428571428,1475.6
2,10,10,7035339.1,32609.14285714286,1512.0
2,10,12,7035621.2,22011.428571428572,1327.6
2,10,17,7036504.4,14547.42857142857,1806.8000000000002
2,10,10,7036596.5,32609.14285714286,1512.0
2,10,2,7037269.3,18908.571428571428,400.0
2,10,6,7038089.4,5996.571428571428,1319.1999999999998
2,10,20,7038202.1,15877.714285714286,2149.6
2,10,17,7039165.6,14547.42857142857,1806.8000000000002
2,10,14,7039291.9,9942.857142857143,2080.0
2,10,19,7039453.1,17684.571428571428,2056.0
2,10,4,7040208.2,19950.857142857145,987.2
2,10,10,7040771.9,32609.14285714286,1512.0
2,10,15,7042934.8,15905.142857142855,3167.2000000000003
2,10,20,7043110.7,15877.714285714286,2149.6
2,10,20,7043431.9,15877.714285714286,2149.6
2,10,3,7043640.0,38417.142857142855,1557.6
2,10,16,7044026.3,11242.285714285714,136.8
2,10,15,7044095.4,15905.142857142855,3167.2000000000003
2,10,9,7044211.3,43834.28571428571,2858.0
2,10,12,7045293.9,22011.428571428572,1327.6
2,10,9,7046715.2,43834.28571428571,2858.0
2,10,1,7046971.2,51277.71428571428,1475.6
2,10,4,7048321.6,19950.857142857145,987.2
2,10,6,7048686.4,5996.571428571428,1319.1999999999998
2,10,8,7049408.7,23136.0,2574.4
2,10,9,7049999.1,43834.28571428571,2858.0
2,10,2,7050130.0,18908.571428571428,400.0
2,10,12,7051122.3,22011.428571428572,1327.6
2,10,1,7052048.3,51277.71428571428,1475.6
2,10,11,7052494.9,5389.714285714286,487.2
2,10,6,7052907.7,5996.571428571428,1319.1999999999998
2,10,17,7053616.6,14547.42857142857,1806.8000000000002
2,10,20,7053839.8,15877.714285714286,2149.6
2,10,2,7054317.3,18908.571428571428,400.0
2,10,22,7054322.3,6795.4285714285725,251.6
2,10,1,7054834.1,51277.71428571428,1475.6
2,10,11,7055985.4,5389.714285714286,487.2
2,10,2,7056784.0,18908.571428571428,400.0
2,10,17,7057229.8,14547.42857142857,1806.8000000000002
2,10,16,7058516.5,11242.285714285714,136.8
2,10,1,7058540.2,51277.71428571428,1475.6
2,10,8,7059187.1,23136.0,2574.4
2,10,19,7059759.4,17684.571428571428,2056.0
2,10,2,7060050.0,18908.571428571428,400.0
2,10,17,7060060.2,14547.42857142857,1806.8000000000002
2,10,6,7060816.3,5996.571428571428,1319.1999999999998
2,10,14,7060935.2,9942.857142857143,2080.0
2,10,15,7061953.3,15905.142857142855,3167.2000000000003
2,10,18,7062472.1,70518.85714285714,1064.0
2,10,19,7062701.8,17684.571428571428,2056.0
2,10,10,7064031.1,32609.14285714286,1512.0
2,10,16,7064138.1,11242.285714285714,136.8
2,10,9,7064243.0,43834.28571428571,2858.0
2,10,19,7064467.2,17684.571428571428,2056.0
2,10,16,7064468.9,11242.285714285714,136.8
2,10,19,7065024.2,17684.571428571428,2056.0
2,10,15,7065575.5,15905.142857142855,3167.2000000000003
2,10,10,7065781.0,32609.14285714286,1512.0
2,10,11,7067679.6,5389.714285714286,487.2
2,10,17,7068050.3,14547.42857142857,1806.8000000000002
2,10,11,7069102.9,5389.714285714286,487.2
2,10,18,7069531.0,70518.85714285714,1064.0
2,10,12,7069576.8,22011.428571428572,1327.6
2,10,16,7070781.2,11242.285714285714,136.8
2,10,20,7070917.8,15877.714285714286,2149.6
2,10,22,7071813.9,6795.4285714285725,251.6
2,10,19,7072892.6,17684.571428571428,2056.0
2,10,11,7073586.1,5389.714285714286,487.2
2,10,22,7074668.4,6795.4285714285725,251.6
2,10,1,7074712.9,51277.71428571428,1475.6
2,10,3,7075245.9,38417.142857142855,1557.6
2,10,15,7075485.8,15905.142857142855,3167.2000000000003
2,10,10,7076148.1,32609.14285714286,1512.0
2,10,3,7076676.1,38417.142857142855,1557.6
2,10,6,7077271.1,5996.571428571428,1319.1999999999998
2,10,22,7077303.7,6795.4285714285725,251.6
2,10,11,7077388.8,5389.714285714286,487.2
2,10,6,7078801.6,5996.571428571428,1319.1999999999998
2,10,17,7079053.4,14547.42857142857,1806.8000000000002
2,10,15,7080209.4,15905.142857142855,3167.2000000000003
2,10,4,7082281.4,19950.857142857145,987.2
2,10,6,7083062.8,5996.571428571428,1319.1999999999998
2,10,4,7083576.5,19950.857142857145,987.2
2,10,18,7084277.6,70518.85714285714,1064.0
2,10,12,7084393.2,22011.428571428572,1327.6
2,10,1,7084951.8,51277.71428571428,1475.6
2,10,11,7085153.0,5389.714285714286,487.2
2,10,12,7085914.0,22011.428571428572,1327.6
2,10,2,7086475.7,18908.571428571428,400.0
2,10,22,7086558.3,6795.4285714285725,251.6
2,10,15,7086763.5,15905.142857142855,3167.2000000000003
2,10,10,7088387.1,32609.14285714286,1512.0
2,10,8,7088565.6,23136.0,2574.4
2,10,11,7088849.4,5389.714285714286,487.2
2,10,22,7089248.0,6795.4285714285725,251.6
2,10,9,7090535.3,43834.28571428571,2858.0
2,10,9,7090949.7,43834.28571428571,2858.0
2,10,18,7091284.0,70518.85714285714,1064.0
2,10,6,7091428.3,5996.571428571428,1319.1999999999998
2,10,16,7092299.4,11242.285714285714,136.8
2,10,2,7092539.7,18908.571428571428,400.0
2,10,6,7092755.0,5996.571428571428,1319.1999999999998
2,10,16,7092860.7,11242.285714285714,136.8
2,10,15,7092876.9,15905.142857142855,3167.2000000000003
2,10,8,7093018.0,23136.0,2574.4
2,10,3,7093567.9,38417.142857142855,1557.6
2,10,3,7093907.7,38417.142857142855,1557.6
2,10,20,7094528.7,15877.714285714286,2149.6
2,10,11,7096072.5,5389.714285714286,487.2
2,10,9,7096852.8,43834.28571428571,2858.0
2,10,2,7097179.2,18908.571428571428,400.0
2,10,15,7097686.1,15905.142857142855,3167.2000000000003
2,10,4,7097881.7,19950.857142857145,987.2
2,10,16,7098349.4,11242.285714285714,136.8
2,10,20,7098727.8,15877.714285714286,2149.6
2,10,14,7098860.9,9942.857142857143,2080.0
2,10,16,7099156.7,11242.285714285714,136.8
2,10,18,7099310.8,70518.85714285714,1064.0
2,10,19,7099312.4,17684.571428571428,2056.0
2,10,4,7099833.6,19950.857142857145,987.2
2,10,15,7100475.1,15905.142857142855,3167.2000000000003
2,10,8,7100834.5,23136.0,2574.4
2,10,10,7101288.4,32609.14285714286,1512.0
2,10,20,7101504.0,15877.714285714286,2149.6
2,10,2,7101960.6,18908.571428571428,400.0
2,10,3,7102126.6,38417.142857142855,1557.6
2,10,22,7102308.2,6795.4285714285725,251.6
2,10,4,7102371.5,19950.857142857145,987.2
2,10,2,7102971.1,18908.571428571428,400.0
2,10,19,7103919.9,17684.571428571428,2056.0
2,10,22,7103927.7,6795.4285714285725,251.6
2,10,16,7105192.0,11242.285714285714,136.8
2,10,10,7106317.8,32609.14285714286,1512.0
2,10,12,7107183.0,22011.428571428572,1327.6
2,10,4,7107388.6,19950.857142857145,987.2
2,10,16,7108368.3,11242.285714285714,136.8
2,10,2,7108494.2,18908.571428571428,400.0
2,10,15,7109616.1,15905.142857142855,3167.2000000000003
2,10,12,7109673.0,22011.428571428572,1327.6
2,10,11,7110580.4,5389.714285714286,487.2
2,10,11,7110747.1,5389.714285714286,487.2
2,10,22,7110955.3,6795.4285714285725,251.6
2,10,17,7114154.1,14547.42857142857,1806.8000000000002
2,10,19,7114558.9,17684.571428571428,2056.0
2,10,16,7114828.2,11242.285714285714,136.8
2,10,11,7115364.9,5389.714285714286,487.2
2,10,14,7115870.9,9942.857142857143,2080.0
2,10,16,7116151.7,11242.285714285714,136.8
2,10,1,7116158.3,51277.71428571428,1475.6
2,10,8,7119136.0,23136.0,2574.4
2,10,2,7119148.4,18908.571428571428,400.0
2,10,10,7119693.3,32609.14285714286,1512.0
2,10,15,7120943.6,15905.142857142855,3167.2000000000003
2,10,6,7121576.0,5996.571428571428,1319.1999999999998
2,10,20,7121726.4,15877.714285714286,2149.6
2,10,9,7123880.6,43834.28571428571,2858.0
2,10,20,7124217.6,15877.714285714286,2149.6
2,10,4,7124774.5,19950.857142857145,987.2
2,10,22,7124919.3,6795.4285714285725,251.6
2,10,16,7125409.0,11242.285714285714,136.8
2,10,10,7127464.1,32609.14285714286,1512.0
2,10,3,7127980.4,38417.142857142855,1557.6
2,10,11,7128194.3,5389.714285714286,487.2
2,10,6,7128200.6,5996.571428571428,1319.1999999999998
2,10,14,7129893.7,9942.857142857143,2080.0
2,10,6,7130606.3,5996.571428571428,1319.1999999999998
2,10,17,7132230.0,14547.42857142857,1806.8000000000002
2,10,8,7134147.0,23136.0,2574.4
2,10,6,7134518.0,5996.571428571428,1319.1999999999998
2,10,12,7135026.4,22011.428571428572,1327.6
2,10,17,7135291.4,14547.42857142857,1806.8000000000002
2,10,6,7135299.4,5996.571428571428,1319.1999999999998
2,10,4,7137024.4,19950.857142857145,987.2
2,10,19,7137441.2,17684.571428571428,2056.0
2,10,6,7140771.3,5996.571428571428,1319.1999999999998
2,10,3,7141590.6,38417.142857142855,1557.6
2,10,6,7142476.8,5996.571428571428,1319.1999999999998
2,10,2,7142852.6,18908.571428571428,400.0
2,10,16,7144086.6,11242.285714285714,136.8
2,10,11,7146059.3,5389.714285714286,487.2
2,10,16,7147068.2,11242.285714285714,136.8
2,10,16,7147068.5,11242.285714285714,136.8
2,10,18,7149847.8,70518.85714285714,1064.0
2,10,14,7150987.0,9942.857142857143,2080.0
2,10,16,7152438.9,11242.285714285714,136.8
2,10,9,7152720.1,43834.28571428571,2858.0
2,10,6,7152862.2,5996.571428571428,1319.1999999999998
2,10,9,7154211.8,43834.28571428571,2858.0
2,10,3,7154277.2,38417.142857142855,1557.6
2,10,3,7154384.8,38417.142857142855,1557.6
2,10,20,7154850.1,15877.714285714286,2149.6
2,10,2,7155095.2,18908.571428571428,400.0
2,10,9,7155733.3,43834.28571428571,2858.0
2,10,3,7155858.1,38417.142857142855,1557.6
2,10,8,7157292.1,23136.0,2574.4
2,10,12,7157819.6,22011.428571428572,1327.6
2,10,19,7158655.4,17684.571428571428,2056.0
2,10,2,7158797.9,18908.571428571428,400.0
2,10,16,7159332.8,11242.285714285714,136.8
2,10,18,7162496.1,70518.85714285714,1064.0
2,10,4,7162714.7,19950.857142857145,987.2
2,10,14,7162890.5,9942.857142857143,2080.0
2,10,2,7165363.8,18908.571428571428,400.0
2,10,18,7166493.3,70518.85714285714,1064.0
2,10,17,7167384.3,14547.42857142857,1806.8000000000002
2,10,20,7167706.9,15877.714285714286,2149.6
2,10,17,7170314.1,14547.42857142857,1806.8000000000002
2,10,6,7170823.7,5996.571428571428,1319.1999999999998
2,10,22,7171234.3,6795.4285714285725,251.6
2,10,3,7171481.9,38417.142857142855,1557.6
2,10,8,7171762.5,23136.0,2574.4
2,10,8,7171890.7,23136.0,2574.4
2,10,2,7172318.5,18908.571428571428,400.0
2,10,11,7172324.4,5389.714285714286,487.2
2,10,4,7172778.1,19950.857142857145,987.2
2,10,10,7172783.9,32609.14285714286,1512.0
