query_stream_id,query_id,start,query_duration,query_duration_with_queue,Data Scanned,cpu_time
8,1,135272,1201,1201,258.01,1046920.0
19,8,135852,12865,13235,24504.32,24022880.0
8,5,138870,1118,1119,328.42,46333.0
8,4,138993,996,996,171.69,407330.0
2,10,140077,675,1018,37.8,95110.0
15,15,140756,3377,3378,5140.48,2737010.0
11,20,144985,4099,4484,952.92,787270.0
8,1,146710,1283,1283,258.01,1046920.0
13,3,148012,1958,2321,1239.04,3473550.0
8,16,148747,2103,2104,22.34,229530.0
3,18,150289,153,563,26.6,205680.0
8,23,152203,0,1,0.0,
10,23,153582,0,2,0.0,
8,15,153631,562,563,630.71,324730.0
13,1,154056,3231,3232,1146.88,4636360.0
8,3,154446,560,560,274.96,784350.0
8,15,154471,670,1035,630.71,324730.0
5,6,155465,222,594,98.91,52470.0
5,23,156239,0,1,0.0,
13,11,156523,1469,1807,266.54,487320.0
9,20,156615,1980,2334,538.32,463100.0
8,3,157339,649,650,274.96,784350.0
8,23,157786,0,1,0.0,
3,2,159174,321,323,10.0,55150.0
15,11,159503,1607,1971,499.78,927480.0
15,5,160751,13507,13844,2744.32,390521.0
8,13,161139,939,940,137.23,1022140.0
8,19,161141,813,813,309.56,361060.0
2,15,162123,261,608,79.18,46390.0
15,22,162341,3666,3668,425.06,1169380.0
8,9,162614,1417,1418,492.09,894950.0
13,13,162865,3582,3584,623.2,4526620.0
3,17,163155,413,414,45.17,42430.0
5,21,163992,2959,2961,263.47,339420.0
8,9,164681,1140,1141,492.09,894950.0
19,19,165029,11362,11745,17059.84,18362480.0
8,3,165933,1017,1018,274.96,784350.0
5,7,166554,6132,6529,150.19,183270.0
13,19,168182,7465,7466,1413.12,1598980.0
3,18,168221,407,408,26.6,205680.0
5,21,169581,3690,3690,263.47,339420.0
16,18,171066,8764,9159,2355.2,17482800.0
15,4,171134,9846,9847,1474.56,3433210.0
10,20,172381,7374,7747,688.99,602030.0
11,13,174633,5023,5396,340.48,2482340.0
8,3,175559,581,581,274.96,784350.0
3,2,182222,374,773,10.0,55150.0
3,13,184298,472,473,18.72,146020.0
8,16,184423,1880,1881,22.34,229530.0
3,14,184633,448,788,52.0,29000.0
5,21,184658,2436,2796,263.47,339420.0
15,16,184827,3276,3277,68.05,1934610.0
8,1,185412,1593,1935,258.01,1046920.0
8,9,185464,1558,1884,492.09,894950.0
8,15,186044,858,1119,630.71,324730.0
8,11,186748,532,946,89.68,110040.0
8,11,186957,671,1061,89.68,110040.0
3,4,187232,273,274,24.68,58190.0
8,4,187591,601,601,171.69,407330.0
13,8,187736,1152,1520,1955.84,2091880.0
8,8,188142,651,651,441.41,472360.0
13,18,188743,3383,3777,862.73,6376080.0
3,6,189129,157,159,32.98,17490.0
8,10,189298,226,227,266.13,665770.0
