query_stream_id,query_id,start,query_duration,query_duration_with_queue,Data Scanned,cpu_time
2,3,9,3606,4500,38.94,112050.0
5,13,5462,1263,1604,58.1,438060.0
2,11,7941,2484,2485,12.18,15720.0
10,10,8306,4946,5853,497.0,1236430.0
13,7,8595,5156,5945,1616.34,1893790.0
5,18,13295,1393,1394,83.54,617040.0
13,18,14884,18812,18813,862.73,6376080.0
19,5,17597,30101,30491,17448.96,2356364.0
11,13,22050,9928,10737,340.48,2482340.0
13,1,22407,15888,16268,1146.88,4636360.0
15,18,32721,7238,8026,1638.4,12135120.0
9,21,39336,5905,6294,1034.24,1131400.0
5,6,42295,412,1225,98.91,52470.0
19,22,43942,17163,17548,2775.04,7055920.0
2,14,45303,966,1340,52.0,29000.0
19,15,51238,2074,2074,32419.84,16514840.0
11,17,53637,2013,2902,659.24,721310.0
13,16,57642,6617,6974,35.82,1016490.0
15,20,58979,6269,6630,2949.12,2732290.0
13,14,59899,1324,2228,1433.66,899000.0
2,6,59912,688,1577,32.98,17490.0
15,23,59915,0,1,0.0,
13,5,63017,2000,2001,1413.12,205189.0
9,8,69855,1402,1789,652.73,674800.0
5,23,71045,0,1,0.0,
5,20,74268,1671,2037,142.84,138930.0
13,15,74967,1370,1370,2662.4,1438090.0
5,2,77951,595,595,39.35,165450.0
5,12,80077,687,687,99.52,192600.0
5,11,81392,674,675,42.57,47160.0
13,18,81929,5312,5312,862.73,6376080.0
5,20,82092,2086,2087,142.84,138930.0
11,18,83919,2810,3198,472.1,3496560.0
19,5,90272,5378,5750,17448.96,2356364.0
2,18,93266,624,949,26.6,205680.0
5,13,97152,544,892,58.1,438060.0
15,21,101247,13801,14205,5560.32,6675260.0
13,5,104451,2421,2809,1413.12,205189.0
15,6,105446,4004,4421,1945.6,1031910.0
15,12,108549,4919,5784,1986.56,3787800.0
5,9,118819,1576,1905,200.62,383550.0
15,19,122999,4650,4650,2744.32,3043220.0
15,22,125642,4702,5086,425.06,1169380.0
15,13,128749,5482,5482,1198.08,8615180.0
13,20,133019,3322,3685,1505.28,1435610.0
5,4,135913,994,1353,73.68,174570.0
19,8,136131,9930,10274,24504.32,24022880.0
2,10,140077,261,609,37.8,95110.0
15,15,140894,5511,5512,5140.48,2737010.0
11,20,144800,3214,3583,952.92,787270.0
13,3,148201,1849,2201,1239.04,3473550.0
10,23,153795,0,3,0.0,
13,1,154245,3293,3293,1146.88,4636360.0
5,6,156153,397,794,98.91,52470.0
13,11,156712,1629,1980,266.54,487320.0
5,23,156927,0,1,0.0,
9,20,156934,2274,2633,538.32,463100.0
15,11,159640,2564,2950,499.78,927480.0
15,5,160887,5991,6442,2744.32,390521.0
2,15,162123,933,1363,79.18,46390.0
15,22,162477,5137,5490,425.06,1169380.0
13,13,163054,4810,4811,623.2,4526620.0
5,21,164680,4866,4866,263.47,339420.0
19,19,165307,2866,3263,17059.84,18362480.0
5,7,167242,1151,1515,150.19,183270.0
13,19,168371,2479,2480,1413.12,1598980.0
5,21,170269,3986,3987,263.47,339420.0
15,4,171270,5695,5696,1474.56,3433210.0
10,20,172594,4421,4786,688.99,602030.0
11,13,174448,3002,3392,340.48,2482340.0
15,16,184963,3391,3392,68.05,1934610.0
5,21,185346,3273,3637,263.47,339420.0
13,8,187925,3736,4166,1955.84,2091880.0
13,18,188932,4243,4574,862.73,6376080.0
11,2,190594,1671,2015,177.06,937550.0
15,13,198274,4182,4183,1198.08,8615180.0
5,12,201289,332,725,99.52,192600.0
2,18,208326,702,1051,26.6,205680.0
19,23,208773,0,1,0.0,
5,9,209955,1349,1350,200.62,383550.0
5,12,213108,443,444,99.52,192600.0
9,4,217780,1245,1603,244.77,581900.0
2,19,224379,652,1047,51.4,51580.0
15,1,225175,8163,8487,2170.88,8824040.0
11,10,227048,759,1170,652.68,1616870.0
15,5,228922,5852,6233,2744.32,390521.0
15,13,230566,6137,6497,1198.08,8615180.0
5,4,231474,1523,1865,73.68,174570.0
5,2,235699,611,611,39.35,165450.0
13,7,239131,1892,2234,1616.34,1893790.0
19,3,242083,7404,8290,14551.04,39889800.0
5,14,249176,814,1184,131.05,87000.0
2,22,252700,1735,2142,6.29,19820.0
5,15,253391,967,967,251.44,139170.0
13,20,253527,4026,4362,1505.28,1435610.0
15,14,253761,2921,3257,2775.04,1711000.0
13,10,255806,230,605,1208.32,2948410.0
11,21,261593,4251,4649,1873.92,1923380.0
5,19,262414,1141,1141,129.23,154740.0
15,9,265535,5182,5183,4096.0,7543150.0
5,18,265934,151,152,83.54,617040.0
5,6,268376,369,370,98.91,52470.0
5,21,270008,3369,3370,263.47,339420.0
5,15,270016,1088,1419,251.44,139170.0
15,6,275408,731,732,1945.6,1031910.0
5,9,276988,1512,1513,200.62,383550.0
15,15,280586,1702,1704,5140.48,2737010.0
13,6,282475,210,562,1021.14,542190.0
13,18,290134,3627,3627,862.73,6376080.0
5,3,290630,921,1273,117.33,336150.0
5,15,294224,1169,1169,251.44,139170.0
5,9,296223,1119,1120,200.62,383550.0
19,21,297960,31617,31969,35696.64,40277840.0
13,18,298467,6453,6454,862.73,6376080.0
13,5,298485,5474,5813,1413.12,205189.0
15,2,299837,1485,1834,412.6,3253850.0
5,11,300046,1244,1244,42.57,47160.0
15,12,300105,14590,14925,1986.56,3787800.0
13,4,302125,8552,8937,770.67,1803890.0
5,7,302141,1349,1350,150.19,183270.0
2,21,302900,4491,4880,80.86,113140.0
15,10,303529,722,723,2314.24,5611490.0
10,12,307808,6771,7142,430.26,834600.0
5,9,313885,1800,2151,200.62,383550.0
9,5,315334,1862,2207,490.83,66190.0
2,6,325646,389,792,32.98,17490.0
19,3,326144,9050,9404,14551.04,39889800.0
13,16,328030,3282,3661,35.82,1016490.0
11,13,329336,2771,3178,340.48,2482340.0
5,18,331578,1362,1704,83.54,617040.0
13,17,331663,3592,3939,1218.56,1315330.0
13,19,335353,3359,3359,1413.12,1598980.0
13,17,336184,2529,2529,1218.56,1315330.0
19,4,336886,5184,5185,8806.4,20715640.0
5,16,337423,5452,5453,11.25,98370.0
15,22,341934,3101,3440,425.06,1169380.0
11,23,343811,0,0,0.0,
15,22,344672,3338,3679,425.06,1169380.0
9,19,347241,1820,2177,442.65,515800.0
15,21,347592,10014,10015,5560.32,6675260.0
13,20,348606,3914,3915,1505.28,1435610.0
2,10,356808,335,696,37.8,95110.0
15,2,360237,379,381,412.6,3253850.0
5,16,361314,1673,2075,11.25,98370.0
13,11,364690,1866,2201,266.54,487320.0
5,19,365128,1026,1027,129.23,154740.0
5,4,366580,700,702,73.68,174570.0
5,22,367303,1106,1106,19.48,59460.0
2,11,370594,747,1093,12.18,15720.0
15,11,370608,2548,2549,499.78,927480.0
15,2,371626,1088,1438,412.6,3253850.0
5,19,372013,1002,1002,129.23,154740.0
13,11,373579,1783,1783,266.54,487320.0
5,23,374586,0,0,0.0,
13,6,379963,251,251,1021.14,542190.0
5,6,382063,151,152,98.91,52470.0
5,15,382542,1092,1092,251.44,139170.0
5,10,386327,242,243,113.55,285330.0
15,10,389398,309,669,2314.24,5611490.0
13,10,395400,382,722,1208.32,2948410.0
11,21,396284,4825,5188,1873.92,1923380.0
13,1,398438,4709,4709,1146.88,4636360.0
19,20,398714,6157,6545,19015.68,16486360.0
15,14,400175,4626,5002,2775.04,1711000.0
11,12,402932,2243,2244,563.11,1091400.0
5,23,407393,0,1,0.0,
19,1,410332,2771,2772,13117.44,53243360.0
2,5,412169,1003,1384,41.06,6619.0
13,16,412425,2942,2942,35.82,1016490.0
13,9,412586,9053,9434,2109.44,3963350.0
5,18,413498,128,504,83.54,617040.0
15,9,417933,6274,6694,4096.0,7543150.0
15,22,421696,4200,4569,425.06,1169380.0
15,11,423141,2222,2563,499.78,927480.0
13,20,423944,2842,2843,1505.28,1435610.0
13,20,426533,2403,2771,1505.28,1435610.0
15,2,426856,593,595,412.6,3253850.0
15,15,429931,1823,1824,5140.48,2737010.0
2,5,433031,579,1018,41.06,6619.0
5,14,435445,756,1096,131.05,87000.0
15,6,439345,1529,1530,1945.6,1031910.0
11,8,439358,2241,2572,1167.36,1147160.0
13,10,440181,278,612,1208.32,2948410.0
5,2,446455,585,585,39.35,165450.0
5,20,447707,1111,1111,142.84,138930.0
9,3,449107,1053,1410,394.15,1120500.0
5,15,449109,1409,1413,251.44,139170.0
5,10,450044,223,573,113.55,285330.0
19,19,451137,2168,2536,17059.84,18362480.0
5,12,451391,563,563,99.52,192600.0
19,22,452718,12328,12740,2775.04,7055920.0
5,21,453848,3008,3008,263.47,339420.0
5,19,455103,1162,1163,129.23,154740.0
10,5,457963,1875,2202,654.16,86047.0
5,4,458312,851,852,73.68,174570.0
13,16,465094,2973,3339,35.82,1016490.0
19,16,466333,5859,5860,412.0,11673240.0
13,3,466841,2155,2547,1239.04,3473550.0
15,13,470355,4137,4464,1198.08,8615180.0
15,17,470632,2722,3082,2375.68,2503370.0
5,14,472425,587,944,131.05,87000.0
7,12,474899,518,876,165.44,321000.0
9,5,476493,1312,1685,490.83,66190.0
13,10,477178,288,288,1208.32,2948410.0
5,11,478289,970,970,42.57,47160.0
15,8,481387,1977,1978,3819.52,3981320.0
13,11,481524,1567,1567,266.54,487320.0
5,18,485142,110,111,83.54,617040.0
15,3,486252,7535,7536,2375.68,6610950.0
5,20,489999,1937,1937,142.84,138930.0
5,15,490016,899,1242,251.44,139170.0
2,21,491943,2514,2881,80.86,113140.0
15,11,492850,2239,2628,499.78,927480.0
5,20,494777,1657,1657,142.84,138930.0
5,11,495861,683,684,42.57,47160.0
5,1,500263,692,693,110.61,448680.0
13,19,500661,2347,2687,1413.12,1598980.0
19,10,504413,3538,3932,14151.68,33859160.0
11,10,504687,494,845,652.68,1616870.0
2,5,506071,766,1141,41.06,6619.0
5,9,510222,1857,1859,200.62,383550.0
5,16,517942,1781,1781,11.25,98370.0
13,8,518947,1913,2281,1955.84,2091880.0
19,9,519985,9360,9725,25948.16,45514600.0
5,20,521196,873,875,142.84,138930.0
13,9,522585,7140,7140,2109.44,3963350.0
15,23,529112,0,2,0.0,
5,9,532247,1639,2024,200.62,383550.0
7,18,542060,867,1218,137.59,1028400.0
2,17,543444,457,869,45.17,42430.0
11,13,544930,1649,1983,340.48,2482340.0
4,22,546320,1571,1965,12.81,39640.0
5,19,548787,876,1240,129.23,154740.0
4,13,550015,371,373,38.13,292040.0
4,16,552894,2185,2187,7.13,65580.0
4,3,552971,511,868,78.04,224100.0
7,13,555415,899,1245,98.49,730100.0
4,9,555601,1160,1161,128.82,255700.0
13,20,556030,3874,4241,1505.28,1435610.0
4,17,556195,335,336,73.16,84860.0
15,7,557752,2595,2992,3120.15,3604310.0
5,14,558462,725,726,131.05,87000.0
4,19,563085,908,910,85.6,103160.0
4,11,564236,718,720,23.59,31440.0
4,6,565037,142,143,65.94,34980.0
11,4,568173,2157,2523,416.85,989230.0
13,3,568857,2343,2343,1239.04,3473550.0
4,22,569384,1360,1361,12.81,39640.0
4,11,570246,633,1043,23.59,31440.0
4,22,571017,1070,1072,12.81,39640.0
19,6,571087,638,968,11724.8,6226440.0
4,19,571432,626,628,85.6,103160.0
4,9,572260,1529,1530,128.82,255700.0
5,12,572454,691,1054,99.52,192600.0
15,18,573854,3152,3529,1638.4,12135120.0
4,16,574874,1814,1815,7.13,65580.0
4,9,578173,129,130,128.82,255700.0
4,12,578626,248,248,66.35,128400.0
2,14,579156,193,569,52.0,29000.0
4,21,581883,3311,3311,170.74,226280.0
4,13,585080,746,1100,38.13,292040.0
2,16,586808,1894,1894,3.42,32790.0
7,20,587420,1589,1934,243.4,231550.0
