database_id,query_id,start,shuffled_mb,cpu_time,data_scanned,scale_factor
11,1,1759967291525,0.001,13537,5178.998,17
11,1,1759967301526,0.001,13537,5178.998,17
11,1,1759967301524,0.001,13537,5178.998,17
11,1,1759967311525,0.001,13537,5178.998,17
11,1,1759967311524,0.001,13537,5178.998,17
11,1,1759967311525,0.001,13537,5178.998,17
11,1,1759967331525,0.001,13537,5178.998,17
11,1,1759967331524,0.001,13537,5178.998,17
11,1,1759967331525,0.001,13537,5178.998,17
11,1,1759967331525,0.001,13537,5178.998,17
11,1,1759967351524,0.001,13537,5178.998,17
11,1,1759967351526,0.001,13537,5178.998,17
11,1,1759967351525,0.001,13537,5178.998,17
11,1,1759967351525,0.001,13537,5178.998,17
11,1,1759967351526,0.001,13537,5178.998,17
11,1,1759967371526,0.001,13537,5178.998,17
11,1,1759967371525,0.001,13537,5178.998,17
11,1,1759967371525,0.001,13537,5178.998,17
11,1,1759967371526,0.001,13537,5178.998,17
11,1,1759967371524,0.001,13537,5178.998,17
11,1,1759967371526,0.001,13537,5178.998,17
11,1,1759967401526,0.001,13537,5178.998,17
11,1,1759967401526,0.001,13537,5178.998,17
11,1,1759967401526,0.001,13537,5178.998,17
11,1,1759967401526,0.001,13537,5178.998,17
11,1,1759967401526,0.001,13537,5178.998,17
11,1,1759967401524,0.001,13537,5178.998,17
11,1,1759967401525,0.001,13537,5178.998,17
11,1,1759967431525,0.001,13537,5178.998,17
11,1,1759967431525,0.001,13537,5178.998,17
11,1,1759967431525,0.001,13537,5178.998,17
11,1,1759967431524,0.001,13537,5178.998,17
11,1,1759967431525,0.001,13537,5178.998,17
11,1,1759967431526,0.001,13537,5178.998,17
11,1,1759967431526,0.001,13537,5178.998,17
11,1,1759967431526,0.001,13537,5178.998,17
11,1,1759967461526,0.001,13537,5178.998,17
11,1,1759967461525,0.001,13537,5178.998,17
11,1,1759967461526,0.001,13537,5178.998,17
11,1,1759967461526,0.001,13537,5178.998,17
11,1,1759967461524,0.001,13537,5178.998,17
11,1,1759967461526,0.001,13537,5178.998,17
11,1,1759967461526,0.001,13537,5178.998,17
11,1,1759967461526,0.001,13537,5178.998,17
11,1,1759967461526,0.001,13537,5178.998,17
11,1,1759967491525,0.001,13537,5178.998,17
11,1,1759967491525,0.001,13537,5178.998,17
11,1,1759967491525,0.001,13537,5178.998,17
11,1,1759967491525,0.001,13537,5178.998,17
11,1,1759967491524,0.001,13537,5178.998,17
11,1,1759967491526,0.001,13537,5178.998,17
11,1,1759967491526,0.001,13537,5178.998,17
11,1,1759967491525,0.001,13537,5178.998,17
11,1,1759967491525,0.001,13537,5178.998,17
11,1,1759967491526,0.001,13537,5178.998,17
