database_id,query_id,start,shuffled_mb,cpu_time,data_scanned,scale_factor
10,1,1759967035393,0.001,10352,3960.41,13
10,1,1759967045396,0.001,10352,3960.41,13
10,1,1759967045394,0.001,10352,3960.41,13
10,1,1759967055394,0.001,10352,3960.41,13
10,1,1759967055395,0.001,10352,3960.41,13
10,1,1759967055395,0.001,10352,3960.41,13
10,1,1759967075395,0.001,10352,3960.41,13
10,1,1759967075396,0.001,10352,3960.41,13
10,1,1759967075395,0.001,10352,3960.41,13
10,1,1759967075394,0.001,10352,3960.41,13
10,1,1759967095394,0.001,10352,3960.41,13
10,1,1759967095395,0.001,10352,3960.41,13
10,1,1759967095395,0.001,10352,3960.41,13
10,1,1759967095396,0.001,10352,3960.41,13
10,1,1759967095396,0.001,10352,3960.41,13
10,1,1759967115396,0.001,10352,3960.41,13
10,1,1759967115395,0.001,10352,3960.41,13
10,1,1759967115396,0.001,10352,3960.41,13
10,1,1759967115395,0.001,10352,3960.41,13
10,1,1759967115396,0.001,10352,3960.41,13
10,1,1759967115394,0.001,10352,3960.41,13
10,1,1759967145397,0.001,10352,3960.41,13
10,1,1759967145397,0.001,10352,3960.41,13
10,1,1759967145396,0.001,10352,3960.41,13
10,1,1759967145394,0.001,10352,3960.41,13
10,1,1759967145397,0.001,10352,3960.41,13
10,1,1759967145397,0.001,10352,3960.41,13
10,1,1759967145396,0.001,10352,3960.41,13
10,1,1759967175397,0.001,10352,3960.41,13
10,1,1759967175397,0.001,10352,3960.41,13
10,1,1759967175395,0.001,10352,3960.41,13
10,1,1759967175396,0.001,10352,3960.41,13
10,1,1759967175397,0.001,10352,3960.41,13
10,1,1759967175394,0.001,10352,3960.41,13
10,1,1759967175395,0.001,10352,3960.41,13
10,1,1759967175397,0.001,10352,3960.41,13
10,1,1759967205394,0.001,10352,3960.41,13
10,1,1759967205395,0.001,10352,3960.41,13
10,1,1759967205394,0.001,10352,3960.41,13
10,1,1759967205395,0.001,10352,3960.41,13
10,1,1759967205395,0.001,10352,3960.41,13
10,1,1759967205394,0.001,10352,3960.41,13
10,1,1759967205393,0.001,10352,3960.41,13
10,1,1759967205395,0.001,10352,3960.41,13
10,1,1759967205394,0.001,10352,3960.41,13
10,1,1759967235395,0.001,10352,3960.41,13
10,1,1759967235395,0.001,10352,3960.41,13
10,1,1759967235395,0.001,10352,3960.41,13
10,1,1759967235396,0.001,10352,3960.41,13
10,1,1759967235393,0.001,10352,3960.41,13
10,1,1759967235395,0.001,10352,3960.41,13
10,1,1759967235395,0.001,10352,3960.41,13
10,1,1759967235395,0.001,10352,3960.41,13
10,1,1759967235394,0.001,10352,3960.41,13
10,1,1759967235396,0.001,10352,3960.41,13
