query_id,query_duration,query_duration_with_queue,start_delay
2,271,1056,958723
19,283,284,960349
12,306,306,963138
9,2048,2049,963761
3,1910,1910,965938
18,2616,3377,965300
16,3060,3820,966627
3,793,793,972911
12,303,303,976137
12,309,310,977050
23,0,1,988112
8,515,1280,988419
8,492,1216,988619
6,217,217,991246
18,2235,2235,989971
10,780,780,994125
8,543,543,994474
1,894,1620,994887
20,1220,1221,996596
22,533,534,998207
15,594,594,1000723
8,450,450,1002632
22,531,531,1006889
3,781,781,1007643
9,2081,2081,1009425
20,1238,1965,1011267
14,289,290,1014032
2,259,1023,1037779
4,692,692,1038917
15,600,601,1040646
20,1354,2085,1039549
14,282,282,1041916
20,1111,1112,1047369
23,0,0,1050595
4,709,1457,1060467
2,269,1014,1061266
22,531,531,1066904
15,597,598,1067731
4,697,697,1069293
4,808,810,1071831
9,1809,1810,1071676
9,1725,1727,1074562
1,886,888,1081514
4,700,701,1082704
10,762,764,1084572
23,0,1,1085541
1,885,887,1087005
14,275,275,1092041
20,1161,1893,1092044
23,0,0,1098143
8,459,460,1098963
1,885,885,1100212
19,267,268,1102173
12,287,288,1102638
8,447,448,1108441
17,367,1142,1123473
23,0,0,1132807
18,2158,2159,1132924
6,208,208,1135269
2,258,259,1136928
20,1116,1116,1138335
6,183,184,1139583
1,885,886,1145512
22,526,526,1146751
8,457,458,1152129
10,1346,2109,1152504
18,2849,2850,1153429
9,2755,3516,1153540
19,300,300,1156762
10,733,733,1160901
12,300,300,1162068
9,3168,3168,1164845
9,3091,3091,1165315
6,213,213,1169518
16,2670,2671,1168041
11,259,259,1172621
23,0,1,1174143
11,253,254,1182826
6,202,202,1190729
1,885,886,1192627
6,198,976,1193185
12,291,292,1194971
15,600,601,1195257
18,2222,2222,1199864
14,278,279,1210335
22,533,534,1213238
11,258,998,1213686
19,268,269,1219604
12,291,291,1221140
10,739,739,1222345
22,547,547,1222824
9,2061,2061,1224216
1,884,885,1227079
16,2595,2595,1236704
6,185,185,1239421
17,360,361,1240875
20,1118,1118,1243059
1,902,903,1244217
4,730,1499,1243662
4,700,1428,1245073
11,253,254,1246634
1,892,893,1246866
2,264,264,1256872
16,2677,2678,1257267
11,263,1037,1259530
16,3156,3930,1257774
11,253,253,1262482
1,888,888,1264138
23,0,0,1269123
9,1753,1753,1267482
20,1118,1119,1268310
22,546,547,1269614
9,1736,1737,1278951
19,269,985,1279864
18,2274,2274,1288302
10,728,729,1293725
23,0,0,1296862
14,277,278,1297273
16,2391,2392,1303168
20,1096,1097,1306232
12,356,1133,1306805
1,898,899,1307424
23,0,0,1311611
12,295,295,1313070
23,0,0,1317503
3,802,803,1317611
3,779,779,1322729
11,269,1067,1322866
8,461,462,1326703
17,362,363,1329284
23,0,0,1337018
3,805,806,1337025
23,0,1,1340740
11,260,260,1341500
23,0,0,1342534
17,369,1127,1357985
20,1184,1184,1359978
23,0,0,1368595
8,463,463,1368933
1,911,912,1370162
8,464,1196,1382837
4,1034,1748,1383261
14,774,1522,1383828
18,2379,2380,1384270
17,358,358,1387407
16,2437,2438,1389722
20,1112,1113,1392292
18,2103,2103,1393665
19,262,262,1396378
11,252,252,1398038
8,476,1238,1398096
12,312,313,1399470
1,891,892,1405073
19,272,273,1414328
3,814,815,1415095
4,699,700,1421753
2,262,262,1422620
15,612,613,1426117
10,744,745,1427988
11,255,255,1431103
10,753,753,1433500
22,534,535,1435840
18,2232,2232,1443131
4,701,1459,1444882
1,884,884,1446372
10,730,1447,1464503
10,745,745,1466204
2,253,253,1467557
11,256,257,1469383
2,248,248,1471488
23,0,1,1475930
3,797,798,1478109
3,849,1617,1478833
1,916,916,1479561
8,449,449,1483672
10,707,707,1485691
10,729,730,1491006
22,527,528,1491950
16,2078,2079,1492931
3,777,777,1496830
10,723,723,1497627
2,260,993,1497850
15,621,622,1499804
2,256,256,1500941
22,529,530,1503607
17,363,363,1504784
9,2039,2040,1504959
15,629,630,1506424
12,303,303,1507152
14,279,280,1507862
2,252,253,1511223
19,261,261,1514098
14,277,277,1515203
17,357,358,1517290
16,2345,2346,1522462
6,207,1049,1524440
19,270,271,1526983
12,296,298,1529120
10,727,728,1534348
4,703,703,1535283
22,539,540,1542086
4,702,703,1543880
6,194,194,1547132
14,286,286,1551349
11,259,259,1554121
20,1196,1197,1555343
8,462,462,1557282
6,198,199,1558319
16,3168,3169,1560386
11,267,1000,1562678
19,279,279,1564192
8,456,457,1564687
15,614,615,1567868
15,613,614,1572670
22,541,542,1575159
3,805,805,1577683
23,0,1,1581193
9,1729,1730,1581726
23,0,0,1583485
23,0,0,1586146
20,1168,1169,1585098
1,890,891,1588748
18,2152,2908,1588912
10,721,722,1594974
20,1883,1884,1594518
16,3961,3961,1599267
22,530,530,1609040
17,368,1081,1609370
17,373,374,1610566
8,474,475,1612442
12,291,291,1616810
2,259,260,1617747
10,744,745,1619105
18,2169,2169,1627448
18,2188,2960,1643402
12,343,1114,1645255
11,286,286,1648391
18,2134,2135,1646978
9,2078,2078,1651402
11,259,260,1653602
3,854,854,1654961
1,949,949,1654940
23,0,0,1660913
18,2239,2240,1665055
12,304,305,1670874
6,193,194,1671439
19,279,279,1672034
14,284,286,1672803
4,810,811,1676632
9,1966,1966,1684818
4,696,696,1688475
23,0,1,1691378
10,740,740,1691763
6,194,194,1697622
18,2180,2977,1722167
20,1184,1185,1725524
11,351,1061,1726526
3,817,1600,1726296
11,618,619,1729973
3,1057,1058,1729606
9,1889,1890,1729445
14,287,288,1734438
3,772,772,1737537
9,1712,1712,1738075
8,603,605,1741809
3,859,859,1741772
15,585,586,1742737
15,597,1346,1742401
18,2251,2252,1745060
23,0,1,1755161
10,779,1566,1757655
19,269,269,1763856
20,1172,1173,1766357
22,548,549,1767545
17,746,1516,1767819
18,2201,2931,1767305
22,573,574,1769794
1,890,891,1770232
2,259,1005,1785118
15,586,587,1794495
19,4063,4063,1796106
3,776,776,1801186
16,2928,3690,1799926
14,287,287,1804231
3,803,804,1809532
4,701,1433,1821793
11,251,252,1827347
8,471,472,1827607
20,1217,1931,1827465
18,2226,2227,1831903
4,705,706,1833721
2,338,1107,1833806
1,884,885,1834523
6,187,188,1835443
12,294,294,1836752
19,272,273,1837040
20,1141,1142,1841910
20,1640,1640,1841425
15,665,666,1843613
16,3120,3121,1843764
1,907,908,1849988
15,615,616,1850345
16,2926,3731,1850838
3,825,825,1854470
6,193,194,1855613
17,384,386,1855605
20,1392,1393,1858054
19,269,270,1860600
14,281,281,1865183
14,281,282,1866008
14,651,1376,1875679
9,1891,1892,1875206
1,923,1676,1876125
23,0,0,1883200
20,1176,1177,1883483
6,187,187,1886313
17,357,358,1888483
19,276,276,1889329
14,284,284,1891973
22,541,542,1893109
6,194,194,1896440
9,1945,1946,1899239
17,358,359,1903053
9,1973,1973,1909098
18,2202,2202,1914354
1,888,888,1916906
11,254,254,1919033
22,547,1322,1919200
18,2244,2245,1922488
22,534,535,1924577
11,288,1019,1924665
2,379,380,1926836
9,2143,2890,1924696
9,1831,1831,1926804
8,451,452,1936501
19,269,270,1938144
2,279,280,1945656
19,268,268,1950162
12,295,295,1953172
8,627,1396,1953181
2,258,259,1954644
19,274,275,1956499
4,706,706,1958729
22,571,572,1959059
18,2113,2114,1962349
8,473,474,1964187
22,553,1281,1964416
1,913,913,1966640
15,618,619,1967093
22,553,554,1970717
15,583,584,1973815
20,1187,1187,1975540
23,0,0,1988181
3,805,1619,1988989
6,196,197,1993839
23,0,1,1999890
6,211,979,2002252
9,2069,2070,2001385
20,1325,2098,2002100
11,252,253,2004349
9,1720,1720,2005067
3,808,809,2008606
11,251,252,2012297
4,692,693,2014101
15,598,1368,2014248
8,479,479,2015784
22,540,541,2020436
14,291,1042,2020464
16,2781,2781,2019081
3,789,790,2027392
3,806,807,2030520
6,208,957,2032477
17,360,360,2033442
16,2899,2899,2032212
23,0,1,2035658
6,185,186,2039821
14,285,286,2044506
22,538,538,2045664
1,892,892,2047861
19,274,275,2051412
4,698,699,2053451
19,276,1045,2066650
19,277,1000,2066926
22,530,531,2068265
14,278,279,2069614
9,1728,1729,2070242
1,882,883,2073627
12,300,300,2075092
4,692,693,2077694
3,783,784,2081398
17,356,357,2085328
11,245,246,2087473
4,694,695,2089258
8,449,450,2097172
19,262,262,2098392
22,525,526,2099179
18,2184,2899,2100936
19,4022,4023,2100664
15,586,586,2108432
4,835,835,2111257
11,477,477,2112515
9,1867,1868,2111133
12,295,296,2115835
2,250,251,2116889
15,581,582,2117119
8,456,456,2117931
10,749,749,2120566
6,176,176,2125964
10,735,736,2126705
17,353,353,2135128
19,399,399,2136966
4,694,696,2140566
23,0,1,2145519
1,881,881,2147288
4,683,684,2148279
9,1713,2517,2159109
22,539,539,2161843
2,260,261,2163951
11,251,252,2166279
10,748,749,2166736
6,196,197,2169650
2,261,978,2169660
19,271,271,2178331
8,449,450,2181289
6,342,1062,2182693
18,2451,3184,2181518
19,270,271,2185291
16,3434,3435,2182469
15,590,590,2195116
6,191,192,2197591
19,265,266,2199217
6,186,187,2200407
1,883,884,2205865
18,3374,4120,2206173
18,3255,3968,2206486
9,1708,1708,2210573
12,755,756,2213889
18,2282,2282,2213294
11,247,248,2216595
11,243,244,2221749
9,2047,2048,2226205
14,276,276,2228722
8,448,449,2229215
19,263,263,2231024
15,592,592,2233744
11,296,1127,2233798
19,307,1064,2233922
17,403,404,2241949
20,1225,1226,2241916
12,463,463,2247019
3,849,849,2246958
16,2535,2536,2255366
10,762,763,2265945
15,923,1654,2266595
9,2184,2185,2266823
2,260,261,2270840
17,358,359,2271571
11,256,256,2274734
19,266,267,2275993
22,532,533,2277527
3,767,768,2278232
15,596,596,2284378
22,532,533,2285590
14,290,290,2295427
1,887,887,2297821
4,709,1533,2298212
19,275,275,2301107
11,289,289,2303278
1,897,898,2302867
17,360,361,2305144
16,2722,2723,2306367
1,888,888,2308317
16,2897,3657,2308840
1,887,889,2312302
20,1375,1376,2316619
11,274,275,2320839
12,316,317,2320927
8,458,458,2321734
19,331,332,2323864
1,886,886,2324376
16,3634,3635,2323579
18,2201,2201,2325581
23,0,0,2333752
20,1253,1253,2334546
14,293,293,2336252
6,196,196,2337698
22,963,1723,2340770
9,2571,3324,2340591
16,3598,3600,2340531
16,3015,3751,2341268
22,805,1583,2343460
9,1795,2565,2343036
23,0,0,2345906
22,959,959,2344993
16,3508,3508,2342565
3,960,961,2345275
19,4177,4943,2342781
3,829,830,2352925
3,866,866,2354309
4,703,703,2356297
16,2999,3000,2354004
22,949,950,2358113
18,2213,2929,2356544
12,319,1083,2371470
18,2164,2164,2372655
6,201,202,2375640
6,179,179,2384562
10,740,1485,2396403
23,0,0,2400331
9,1726,1726,2406366
22,534,535,2412994
6,209,209,2422738
18,2228,2229,2423180
8,457,458,2425648
20,1121,1123,2427263
17,366,1099,2427933
23,0,1,2429676
12,297,298,2432485
11,253,254,2434102
17,356,357,2435364
19,279,280,2435775
20,1344,1345,2436421
11,257,257,2437845
8,454,454,2440649
3,780,781,2445711
19,267,1013,2445940
19,260,261,2449818
1,885,885,2450008
8,505,506,2450878
8,505,506,2450948
3,768,768,2457411
20,1240,1240,2458666
15,678,678,2459585
14,287,288,2459978
11,255,255,2460489
20,1102,1103,2460688
17,355,356,2466663
15,599,600,2467862
17,355,356,2469027
2,288,290,2470204
4,703,1420,2481432
16,2605,2606,2484266
6,205,205,2494412
11,256,257,2494622
6,188,188,2496487
18,2102,2103,2498126
8,457,458,2500378
8,467,1263,2511593
10,733,733,2513324
14,290,291,2517950
16,2784,2784,2519547
10,730,1473,2522052
1,887,887,2526468
12,296,297,2529974
20,1125,1125,2530601
10,738,739,2533037
8,461,1248,2533118
16,3255,3255,2531195
11,253,985,2533523
18,2180,2181,2538083
19,261,262,2545793
8,446,446,2552061
1,881,882,2552547
18,2213,2213,2557804
15,612,1332,2559337
3,783,783,2560578
23,0,1,2569090
18,2223,3026,2574554
4,810,810,2581121
14,291,292,2584906
1,911,1678,2585088
4,696,697,2593423
23,0,0,2594545
9,2061,2062,2594591
12,294,1010,2596384
8,446,447,2600887
2,254,255,2603073
3,765,766,2611775
19,269,269,2613197
14,275,275,2615527
15,603,604,2618838
22,528,529,2620933
4,693,694,2621813
10,1435,1436,2622963
2,249,249,2624611
9,2523,3233,2621857
6,209,209,2633609
1,883,884,2636293
18,2144,2144,2645508
6,207,951,2646880
4,842,843,2647686
9,1859,2660,2646787
2,274,275,2650503
9,1784,1784,2650576
12,465,466,2651965
14,281,281,2658119
20,1142,1142,2658713
11,253,254,2661926
2,257,257,2662597
4,696,696,2669326
17,370,1112,2669710
20,1228,1228,2676354
22,536,536,2677444
20,1211,1212,2679515
8,459,460,2682500
8,459,460,2682790
4,761,762,2683642
2,256,256,2685828
15,602,603,2688736
20,1008,1009,2688402
2,258,259,2689347
6,191,192,2690034
