job_id,query_id,database_id,start,start_timestamp,end_timestamp,Queueing Delay,Buffer Delay,I/O,CPU,Shuffle,query_duration_with_queue,query_duration,mon_cost
0,1,1,0.0,0.0,100.0,0,0.0,0.00092225,0.06356299999999998,0.003689,0.06356299999999998,0.06356299999999998,78.69300626109728
1,1,9,5000.0,5000.0,5700.0,0,0.0,0.0092225,0.6355874999999996,0.04527409090909091,0.6355874999999996,0.6355874999999996,78.69300626109728
2,1,12,50000.0,50000.0,51600.0,0,0.0,0.02121175,1.4618512499999992,0.13198422222222222,1.4618512499999992,1.4618512499999992,78.69300626109728
3,1,15,100000.0,100000.0,104300.0,0,0.0,0.05441275,3.7499662500000026,0.5364327676767677,3.7499662500000026,3.7499662500000026,78.69300626109728
4,1,16,200000.0,200000.0,206400.0,0,0.0,0.07839125,5.4024937499999925,0.9787028787878788,5.4024937499999925,5.4024937499999925,78.69300626109728
5,1,17,400000.0,400000.0,409600.0,0,0.0,0.11528125,7.9448437499999764,1.6139375000000002,7.9448437499999764,7.9448437499999764,78.69300626109728
6,1,18,700000.0,700000.0,715500.0,0,0.0,0.1862945,12.838867499999946,2.6081230000000004,12.838867499999946,12.838867499999946,78.69300626109728
7,1,19,1100000.0,1100000.0,1127200.0,0,0.0,0.32832100000000003,22.628428000000135,4.596494,22.628428000000135,22.628428000000135,78.69300626109728
8,2,2,1500000.0,1500000.0,1500100.0,0,0.0,0.00025,0.009375499999999998,0.001,0.009375499999999998,0.009375499999999998,78.69300626109728
9,2,2,1505000.0,1505000.0,1505100.0,0,0.0,0.0025,0.09375499999999999,0.012272727272727274,0.09375499999999999,0.09375499999999999,78.69300626109728
10,2,2,1550000.0,1550000.0,1550300.0,0,0.0,0.00575,0.21563649999999995,0.035777777777777776,0.21563649999999995,0.21563649999999995,78.69300626109728
11,2,2,1600000.0,1600000.0,1600700.0,0,0.0,0.01475,0.5531544999999998,0.14541414141414144,0.5531544999999998,0.5531544999999998,78.69300626109728
12,2,2,1700000.0,1700000.0,1701000.0,0,0.0,0.02125,0.7969174999999997,0.2653030303030303,0.7969174999999997,0.7969174999999997,78.69300626109728
13,2,2,1900000.0,1900000.0,1901600.0,0,0.0,0.03125,1.1719374999999992,0.4375,1.1719374999999992,1.1719374999999992,78.69300626109728
14,2,2,2200000.0,2200000.0,2202600.0,0,0.0,0.0505,1.8938509999999993,0.707,1.8938509999999993,1.8938509999999993,78.69300626109728
15,2,2,2600000.0,2600000.0,2604600.0,0,0.0,0.089,3.3376780000000017,1.246,3.3376780000000017,3.3376780000000017,78.69300626109728
16,3,1,3000000.0,3000000.0,3000100.0,0,0.0,0.0009735,0.03476351249999999,0.0038940000000000003,0.03476351249999999,0.03476351249999999,78.69300626109728
17,3,9,3005000.0,3005000.0,3005400.0,0,0.0,0.009734999999999999,0.34763512499999993,0.04779,0.34763512499999993,0.34763512499999993,78.69300626109728
18,3,12,3050000.0,3050000.0,3050900.0,0,0.0,0.0223905,0.7995607874999996,0.13931866666666667,0.7995607874999996,0.7995607874999996,78.69300626109728
19,3,15,3100000.0,3100000.0,3102600.0,0,0.0,0.0574365,2.0510472374999993,0.5662426666666667,2.0510472374999993,2.0510472374999993,78.69300626109728
20,3,16,3200000.0,3200000.0,3204000.0,0,0.0,0.0827475,2.9548985625000013,1.03309,2.9548985625000013,2.9548985625000013,78.69300626109728
21,3,17,3400000.0,3400000.0,3406100.0,0,0.0,0.1216875,4.3454390625,1.7036250000000004,4.3454390625,4.3454390625,78.69300626109728
22,3,18,3700000.0,3700000.0,3709800.0,0,0.0,0.19664700000000002,7.022229524999982,2.753058000000001,7.022229524999982,7.022229524999982,78.69300626109728
23,3,19,4100000.0,4100000.0,4117300.0,0,0.0,0.34656600000000004,12.40993794999995,4.851923999999998,12.40993794999995,12.40993794999995,78.69300626109728
24,4,1,4500000.0,4500000.0,4500100.0,0,0.0,0.000617,0.03338651249999999,0.002468,0.03338651249999999,0.03338651249999999,78.69300626109728
25,4,1,4505000.0,4505000.0,4505400.0,0,0.0,0.00617,0.333865125,0.03028909090909091,0.333865125,0.333865125,78.69300626109728
26,4,1,4550000.0,4550000.0,4550800.0,0,0.0,0.014191,0.7678897874999996,0.08829955555555556,0.7678897874999996,0.7678897874999996,78.69300626109728
27,4,1,4600000.0,4600000.0,4602300.0,0,0.0,0.036403,1.9698042375,0.35888210101010104,1.9698042375,1.9698042375,78.69300626109728
28,4,1,4700000.0,4700000.0,4703500.0,0,0.0,0.052445000000000006,2.8378535625000008,0.6547678787878789,2.8378535625000008,2.8378535625000008,78.69300626109728
29,4,1,4900000.0,4900000.0,4905200.0,0,0.0,0.077125,4.1733140625,1.07975,4.1733140625,4.1733140625,78.69300626109728
30,4,1,5200000.0,5200000.0,5208500.0,0,0.0,0.124634,6.744075524999984,1.744876,6.744075524999984,6.744075524999984,78.69300626109728
31,4,1,5600000.0,5600000.0,5614900.0,0,0.0,0.21965200000000001,11.885598449999952,3.075128000000001,11.885598449999952,11.885598449999952,78.69300626109728
32,5,1,6000000.0,6000000.0,6000100.0,0,0.0,0.0010265,0.040086318749999995,0.004106000000000001,0.040086318749999995,0.040086318749999995,78.69300626109728
33,5,1,6005000.0,6005000.0,6005500.0,0,0.0,0.010265,0.4008631874999999,0.05039181818181819,0.4008631874999999,0.4008631874999999,78.69300626109728
34,5,1,6050000.0,6050000.0,6051100.0,0,0.0,0.0236095,0.9219853312499995,0.14690355555555556,0.9219853312499995,0.9219853312499995,78.69300626109728
35,5,1,6100000.0,6100000.0,6102900.0,0,0.0,0.0605635,2.3650928062500003,0.5970704646464646,2.3650928062500003,2.3650928062500003,78.69300626109728
36,5,1,6200000.0,6200000.0,6204500.0,0,0.0,0.08725250000000001,3.4073370937500025,1.0893342424242425,3.4073370937500025,3.4073370937500025,78.69300626109728
37,5,1,6400000.0,6400000.0,6406800.0,0,0.0,0.1283125,5.010789843749995,1.7963750000000003,5.010789843749995,5.010789843749995,78.69300626109728
38,5,1,6700000.0,6700000.0,6711000.0,0,0.0,0.20735300000000004,8.097436387499975,2.9029420000000012,8.097436387499975,8.097436387499975,78.69300626109728
39,5,1,7100000.0,7100000.0,7119400.0,0,0.0,0.36543400000000004,14.270729474999941,5.116075999999998,14.270729474999941,14.270729474999941,78.69300626109728
40,6,1,7500000.0,7500000.0,7500100.0,0,0.0,0.0008244999999999999,0.009291562499999996,0.003298,0.009291562499999996,0.009291562499999996,78.69300626109728
41,6,1,7505000.0,7505000.0,7505100.0,0,0.0,0.008244999999999999,0.09291562499999997,0.040475454545454544,0.09291562499999997,0.09291562499999997,78.69300626109728
42,6,1,7550000.0,7550000.0,7550400.0,0,0.0,0.018963499999999998,0.21370593749999994,0.1179951111111111,0.21370593749999994,0.21370593749999994,78.69300626109728
43,6,1,7600000.0,7600000.0,7601000.0,0,0.0,0.0486455,0.5482021874999997,0.47957583838383844,0.5482021874999997,0.5482021874999997,78.69300626109728
44,6,1,7700000.0,7700000.0,7701600.0,0,0.0,0.0700825,0.7897828124999996,0.874969393939394,0.7897828124999996,0.7897828124999996,78.69300626109728
45,6,1,7900000.0,7900000.0,7902600.0,0,0.0,0.1030625,1.1614453124999993,1.4428750000000001,1.1614453124999993,1.1614453124999993,78.69300626109728
46,6,1,8200000.0,8200000.0,8204200.000000001,0,0.0,0.166549,1.8768956249999995,2.3316860000000004,1.8768956249999995,1.8768956249999995,78.69300626109728
47,6,1,8600000.0,8600000.0,8607500.0,0,0.0,0.293522,3.3077962500000018,4.109308,3.3077962500000018,3.3077962500000018,78.69300626109728
48,7,1,9000000.0,9000000.0,9000100.0,0,0.0,0.00118625,0.025963249999999997,0.004745,0.025963249999999997,0.025963249999999997,78.69300626109728
49,7,1,9005000.0,9005000.0,9005300.0,0,0.0,0.0118625,0.2596325,0.058234090909090916,0.2596325,0.2596325,78.69300626109728
50,7,1,9050000.0,9050000.0,9050700.0,0,0.0,0.02728375,0.5971547499999998,0.16976555555555556,0.5971547499999998,0.5971547499999998,78.69300626109728
51,7,1,9100000.0,9100000.0,9102200.0,0,0.0,0.06998875,1.5318317499999994,0.689990101010101,1.5318317499999994,1.5318317499999994,78.69300626109728
52,7,1,9200000.0,9200000.0,9203500.0,0,0.0,0.10083125000000003,2.2068762499999997,1.258862878787879,2.2068762499999997,2.2068762499999997,78.69300626109728
53,7,1,9400000.0,9400000.0,9405300.0,0,0.0,0.14828125,3.245406250000002,2.0759375000000007,3.245406250000002,3.245406250000002,78.69300626109728
54,7,1,9700000.0,9700000.0,9708600.0,0,0.0,0.23962250000000002,5.244576499999994,3.3547150000000014,5.244576499999994,5.244576499999994,78.69300626109728
55,7,1,10100000.0,10100000.0,10115200.0,0,0.0,0.42230500000000004,9.242916999999968,5.912269999999994,9.242916999999968,9.242916999999968,78.69300626109728
56,8,1,10500000.0,10500000.0,10500100.0,0,0.0,0.001609,0.028678999999999996,0.006436,0.028678999999999996,0.028678999999999996,78.69300626109728
57,8,1,10505000.0,10505000.0,10505300.0,0,0.0,0.01609,0.28679,0.07898727272727274,0.28679,0.28679,78.69300626109728
58,8,1,10550000.0,10550000.0,10550900.0,0,0.0,0.037007,0.6596169999999999,0.2302657777777778,0.6596169999999999,0.6596169999999999,78.69300626109728
59,8,1,10600000.0,10600000.0,10602600.0,0,0.0,0.09493099999999999,1.6920609999999994,0.935885414141414,1.6920609999999994,1.6920609999999994,78.69300626109728
60,8,1,10700000.0,10700000.0,10704200.0,0,0.0,0.13676500000000003,2.4377150000000003,1.7074903030303037,2.4377150000000003,2.4377150000000003,78.69300626109728
61,8,1,10900000.0,10900000.0,10906400.0,0,0.0,0.201125,3.584875000000002,2.8157500000000013,3.584875000000002,3.584875000000002,78.69300626109728
62,8,1,11200000.0,11200000.0,11210300.0,0,0.0,0.32501800000000003,5.79315799999999,4.5502519999999995,5.79315799999999,5.79315799999999,78.69300626109728
63,8,1,11600000.0,11600000.0,11618300.0,0,0.0,0.572804,10.209723999999962,8.019255999999986,10.209723999999962,10.209723999999962,78.69300626109728
64,9,1,12000000.0,12000000.0,12000100.0,0,0.0,0.00178625,0.05433624999999999,0.007145,0.05433624999999999,0.05433624999999999,78.69300626109728
65,9,1,12005000.0,12005000.0,12005600.0,0,0.0,0.0178625,0.5433624999999997,0.08768863636363637,0.5433624999999997,0.5433624999999997,78.69300626109728
66,9,1,12050000.0,12050000.0,12051500.0,0,0.0,0.041083749999999995,1.2497337499999992,0.25563222222222226,1.2497337499999992,1.2497337499999992,78.69300626109728
67,9,1,12100000.0,12100000.0,12104300.0,0,0.0,0.10538875,3.2058387500000016,1.0389840404040405,3.2058387500000016,3.2058387500000016,78.69300626109728
68,9,1,12200000.0,12200000.0,12206500.0,0,0.0,0.15183125,4.618581249999997,1.895590151515152,4.618581249999997,4.618581249999997,78.69300626109728
69,9,1,12400000.0,12400000.0,12409900.0,0,0.0,0.22328125000000001,6.792031249999984,3.1259375000000014,6.792031249999984,6.792031249999984,78.69300626109728
70,9,1,12700000.0,12700000.0,12716000.0,0,0.0,0.36082250000000005,10.975922499999959,5.0515149999999975,10.975922499999959,10.975922499999959,78.69300626109728
71,9,1,13100000.0,13100000.0,13128300.0,0,0.0,0.6359049999999999,19.343705000000046,8.902669999999985,19.343705000000046,19.343705000000046,78.69300626109728
72,10,1,13500000.0,13500000.0,13500100.0,0,0.0,0.0009449999999999999,0.04042174999999999,0.00378,0.04042174999999999,0.04042174999999999,78.69300626109728
73,10,1,13505000.0,13505000.0,13505500.0,0,0.0,0.00945,0.4042174999999999,0.0463909090909091,0.4042174999999999,0.4042174999999999,78.69300626109728
74,10,1,13550000.0,13550000.0,13551100.0,0,0.0,0.021735,0.9297002499999996,0.13524000000000003,0.9297002499999996,0.9297002499999996,78.69300626109728
75,10,1,13600000.0,13600000.0,13602900.0,0,0.0,0.05575499999999999,2.38488325,0.5496654545454545,2.38488325,2.38488325,78.69300626109728
76,10,1,13700000.0,13700000.0,13704500.0,0,0.0,0.080325,3.4358487500000026,1.0028454545454544,3.4358487500000026,3.4358487500000026,78.69300626109728
77,10,1,13900000.0,13900000.0,13906700.0,0,0.0,0.11812500000000001,5.052718749999995,1.6537500000000003,5.052718749999995,5.052718749999995,78.69300626109728
78,10,1,14200000.0,14200000.0,14210800.0,0,0.0,0.19089,8.165193499999976,2.6724600000000005,8.165193499999976,8.165193499999976,78.69300626109728
79,10,1,14600000.0,14600000.0,14619100.0,0,0.0,0.33642000000000005,14.390142999999943,4.709879999999998,14.390142999999943,14.390142999999943,78.69300626109728
80,11,1,15000000.0,15000000.0,15000100.0,0,0.0,0.0003045,0.006680999999999999,0.001218,0.006680999999999999,0.006680999999999999,78.69300626109728
81,11,1,15005000.0,15005000.0,15005100.0,0,0.0,0.003045,0.06680999999999998,0.014948181818181819,0.06680999999999998,0.06680999999999998,78.69300626109728
82,11,1,15050000.0,15050000.0,15050200.0,0,0.0,0.007003499999999999,0.15366299999999997,0.04357733333333333,0.15366299999999997,0.15366299999999997,78.69300626109728
83,11,1,15100000.0,15100000.0,15100500.0,0,0.0,0.0179655,0.39417899999999995,0.17711442424242424,0.39417899999999995,0.39417899999999995,78.69300626109728
84,11,1,15200000.0,15200000.0,15200900.0,0,0.0,0.0258825,0.5678849999999999,0.32313909090909093,0.5678849999999999,0.5678849999999999,78.69300626109728
85,11,1,15400000.0,15400000.0,15401400.0,0,0.0,0.0380625,0.8351249999999996,0.532875,0.8351249999999996,0.8351249999999996,78.69300626109728
86,11,1,15700000.0,15700000.0,15702200.0,0,0.0,0.061509,1.3495619999999993,0.861126,1.3495619999999993,1.3495619999999993,78.69300626109728
87,11,1,16100000.0,16100000.0,16103900.0,0,0.0,0.108402,2.3784360000000007,1.5176280000000002,2.3784360000000007,2.3784360000000007,78.69300626109728
88,12,1,16500000.0,16500000.0,16500099.999999998,0,0.0,0.00082975,0.03383339999999999,0.003319,0.03383339999999999,0.03383339999999999,78.69300626109728
89,12,1,16505000.0,16505000.0,16505400.000000002,0,0.0,0.0082975,0.33833399999999997,0.04073318181818182,0.33833399999999997,0.33833399999999997,78.69300626109728
90,12,1,16550000.0,16550000.0,16550900.000000002,0,0.0,0.019084249999999997,0.7781681999999995,0.11874644444444443,0.7781681999999995,0.7781681999999995,78.69300626109728
91,12,1,16600000.0,16600000.0,16602400.000000002,0,0.0,0.04895525,1.9961705999999997,0.48262953535353537,1.9961705999999997,1.9961705999999997,78.69300626109728
92,12,1,16700000.0,16700000.0,16703700.0,0,0.0,0.07052875,2.8758390000000014,0.8805407575757576,2.8758390000000014,2.8758390000000014,78.69300626109728
93,12,1,16900000.0,16900000.0,16905700.0,0,0.0,0.10371875,4.229175,1.4520625,4.229175,4.229175,78.69300626109728
94,12,1,17200000.0,17200000.0,17209200.0,0,0.0,0.16760949999999997,6.834346799999983,2.346533,6.834346799999983,6.834346799999983,78.69300626109728
95,12,1,17600000.0,17600000.0,17616200.0,0,0.0,0.295391,12.04469039999995,4.135474,12.04469039999995,12.04469039999995,78.69300626109728
96,13,1,18000000.0,18000000.0,18000100.0,0,0.0,0.000468,0.0496468,0.001872,0.0496468,0.0496468,78.69300626109728
97,13,9,18005000.0,18005000.0,18005500.0,0,0.0,0.00468,0.4964679999999999,0.022974545454545456,0.4964679999999999,0.4964679999999999,78.69300626109728
98,13,12,18050000.0,18050000.0,18051200.0,0,0.0,0.010764,1.1418763999999992,0.066976,1.1418763999999992,1.1418763999999992,78.69300626109728
99,13,15,18100000.0,18100000.0,18103200.0,0,0.0,0.027612,2.9291612000000016,0.27221527272727275,2.9291612000000016,2.9291612000000016,78.69300626109728
100,13,16,18200000.0,18200000.0,18204700.0,0,0.0,0.03978,4.219978,0.49664727272727277,4.219978,4.219978,78.69300626109728
101,13,17,18400000.0,18400000.0,18407100.0,0,0.0,0.0585,6.205849999999987,0.819,6.205849999999987,6.205849999999987,78.69300626109728
102,13,18,18700000.0,18700000.0,18711400.0,0,0.0,0.094536,10.028653599999965,1.323504,10.028653599999965,10.028653599999965,78.69300626109728
103,13,19,19100000.0,19100000.0,19120000.0,0,0.0,0.16660799999999998,17.674260800000003,2.3325120000000004,17.674260800000003,17.674260800000003,78.69300626109728
