query,total_scan_mb,total_cpu_sec,shuffle_mb,expected_io,calculated_io,io_diff,expected_cpu,calculated_cpu,cpu_diff,expected_shuffle,calculated_shuffle,shuffle_diff
query_0,119.817,0.2499905,82.869,0.02995425,0.029954249999999998,3.469446951953614e-18,0.007812203125,0.007812203125,0.0,0.0662952,0.0662952,0.0
query_1,1589.008,7.3699875,0.129,0.397252,0.397252,0.0,0.2303121094,0.230312109375,2.5000002068509275e-11,0.0001032,0.0001032,0.0
query_2,0.022,0.2,0.006,5.5e-06,5.5e-06,0.0,0.00625,0.00625,0.0,4.8e-06,4.8e-06,0.0
query_3,4168.302,45.8399125,2044.396,1.0420755,1.0420755,0.0,1.432497266,1.432497265625,3.750000310276391e-10,1.6355168,1.6355168,0.0
query_4,,,,,0.0,,,0.0,,,0.0,
query_5,,,,,0.0,,,0.0,,,0.0,
query_6,2632.744,0.447989,0.0,0.658186,0.658186,0.0,0.01399965625,0.01399965625,0.0,0.0,0.0,0.0
query_7,0.048,0.337,0.123,1.2e-05,1.2e-05,0.0,0.01053125,0.01053125,0.0,9.84e-05,9.839999999999999e-05,1.3552527156068805e-20
query_8,2632.744,0.447989,0.0,0.658186,0.658186,0.0,0.01399965625,0.01399965625,0.0,0.0,0.0,0.0
query_9,0.048,0.337,0.123,1.2e-05,1.2e-05,0.0,0.01053125,0.01053125,0.0,9.84e-05,9.839999999999999e-05,1.3552527156068805e-20
query_10,829.673,2.5839574,423.5982,0.20741825,0.20741825,0.0,0.08074866875,0.08074866875,0.0,0.33887856,0.33887856,0.0
query_11,,,,,0.0,,,0.0,,,0.0,
query_12,,,,,0.0,,,0.0,,,0.0,
query_13,2205.10675,56.539954,1169.149,0.5512766875,0.5512766875,0.0,1.766873563,1.7668735625,5.000000413701855e-10,0.9353192,0.9353191999999999,1.1102230246251565e-16
query_14,69.513,0.0899925,31.201,0.01737825,0.01737825,0.0,0.002812265625,0.002812265625,0.0,0.0249608,0.024960800000000002,3.469446951953614e-18
query_15,1407.356,12.5559838,607.309,0.351839,0.351839,0.0,0.3923744938,0.39237449375,5.000000413701855e-11,0.4858472,0.4858472,0.0
query_16,135.802,0.1039904,0.006,0.0339505,0.0339505,0.0,0.0032497,0.0032497,0.0,4.8e-06,4.8e-06,0.0
query_17,104.549,0.419991,67.728,0.02613725,0.02613725,0.0,0.01312471875,0.01312471875,0.0,0.0541824,0.0541824,0.0
query_18,6.685,0.0099935,5.204,0.00167125,0.00167125,0.0,0.000312296875,0.000312296875,0.0,0.0041632,0.0041632,0.0
query_19,21.464,0.01999,4.478,0.005366,0.005365999999999999,8.673617379884035e-19,0.0006246875,0.0006246875,0.0,0.0035824,0.0035824,0.0
query_20,8.316,0.05999,2.481,0.002079,0.002079,0.0,0.0018746875,0.0018746875,0.0,0.0019848,0.0019848,0.0
query_21,480.589,9.2319852,7.302,0.12014725,0.12014725,0.0,0.2884995375,0.2884995375,0.0,0.0058416,0.0058416,0.0
query_22,6228.6914,196.919961,1971.9696,1.55717285,1.55717285,0.0,6.153748781,6.15374878125,2.5000002068509275e-10,1.57757568,1.5775756799999998,2.220446049250313e-16
query_23,2629.226333,16.87330333,47.728,0.6573065833,0.65730658325,5.000000413701855e-11,0.5272907292,0.5272907290625,1.37500011376801e-10,0.0381824,0.0381824,0.0
query_24,179.077,0.1299815,0.001,0.04476925,0.04476925,0.0,0.004061921875,0.004061921875,0.0,8e-07,8e-07,0.0
query_25,0.06,0.722,0.008,1.5e-05,1.4999999999999999e-05,1.6940658945086007e-21,0.0225625,0.0225625,0.0,6.4e-06,6.4e-06,0.0
query_26,0.092,1.105,0.01,2.3e-05,2.3e-05,0.0,0.03453125,0.03453125,0.0,8e-06,8e-06,0.0
query_27,208.889,9.41497975,0.205,0.05222225,0.052222250000000005,6.938893903907228e-18,0.2942181172,0.2942181171875,1.2500001034254637e-11,0.000164,0.000164,0.0
query_28,44.611,0.199982,0.004,0.01115275,0.01115275,0.0,0.0062494375,0.0062494375,0.0,3.2e-06,3.2e-06,0.0
