query,total_scan_mb,total_cpu_sec,shuffle_mb,expected_io,calculated_io,io_diff,expected_cpu,calculated_cpu,cpu_diff,expected_shuffle,calculated_shuffle,shuffle_diff
query_32,266.2753333,0.65998,109.2133333,0.2048271795,0.20482717946153847,3.8461539508816145e-11,0.0824975,0.0824975,0.0,0.08737066667,0.08737066664,3.000000248221113e-11
query_33,23.429,7.479985,2.301,0.01802230769,0.01802230769230769,2.3076922317510906e-12,0.934998125,0.934998125,0.0,0.0018408,0.0018408,0.0
query_34,1783.91125,4.139972,543.56575,1.372239423,1.3722394230769233,7.692335657338845e-11,0.5174965,0.5174965,0.0,0.4348526,0.4348526,0.0
query_35,1039.958,1.9949905,0.11775,0.7999676923,0.7999676923076924,7.692402270720322e-12,0.2493738125,0.2493738125,0.0,9.42e-05,9.42e-05,0.0
query_36,0.011,0.179997,0.0,8.461538462e-06,8.46153846153846e-06,4.615397826293957e-16,0.022499625,0.022499625,0.0,0.0,0.0,0.0
query_37,3845.895,28.414949,2057.4525,2.958380769,2.9583807692307693,2.3076918154174564e-10,3.551868625,3.551868625,0.0,1.645962,1.645962,0.0
query_38,813.209,3.82496475,6.57,0.6255453846,0.6255453846153846,1.538458249683572e-11,0.4781205938,0.47812059375,5.000000413701855e-11,0.005256,0.005256,0.0
query_39,396.285,0.754996,2.824,0.3048346154,0.3048346153846154,1.538458249683572e-11,0.0943745,0.0943745,0.0,0.0022592,0.0022592,0.0
query_40,,,,,0.0,,,0.0,,,0.0,
query_41,10.013,0.55999,0.003,0.007702307692,0.007702307692307692,3.076922397426962e-13,0.06999875,0.06999875,0.0,2.4e-06,2.4e-06,0.0
query_42,776.01175,1.95999025,0.066,0.5969321154,0.5969321153846154,1.538458249683572e-11,0.2449987813,0.24499878125,5.000000413701855e-11,5.28e-05,5.28e-05,0.0
query_43,76.128,1.10498975,6.09,0.05856,0.05856,0.0,0.1381237188,0.13812371875,4.9999976381442934e-11,0.004872,0.004872,0.0
query_44,284.486,0.719991,167.741,0.2188353846,0.2188353846153846,1.5384610252411335e-11,0.089998875,0.089998875,0.0,0.1341928,0.1341928,0.0
query_45,428.16825,6.25997975,104.972,0.3293601923,0.3293601923076923,7.69229124841786e-12,0.7824974688,0.78249746875,5.000000413701855e-11,0.0839776,0.0839776,0.0
query_46,4275.292,47.2899675,364.033,3.288686154,3.2886861538461543,1.538458249683572e-10,5.911245938,5.9112459375,5.000000413701855e-10,0.2912264,0.2912264,0.0
query_47,2625.639,9.459985,70.856,2.019722308,2.019722307692308,3.0769209402592423e-10,1.182498125,1.182498125,0.0,0.0566848,0.056684799999999994,6.938893903907228e-18
query_48,217.223,0.619986,0.849,0.1670946154,0.1670946153846154,1.5384610252411335e-11,0.07749825,0.07749825,0.0,0.0006792,0.0006792,0.0
query_49,19.989,7.414986,0.131,0.01537615385,0.015376153846153847,3.846152563102834e-12,0.92687325,0.92687325,0.0,0.0001048,0.0001048,0.0
query_50,7480.79275,35.169964,4049.746,5.754455962,5.754455961538461,4.615383630834913e-10,4.3962455,4.3962455,0.0,3.2397968,3.2397968,0.0
query_51,4.686,0.976365,0.072,0.003604615385,0.0036046153846153845,3.8461551651880477e-13,0.122045625,0.122045625,0.0,5.76e-05,5.76e-05,0.0
query_52,62.201,2.659984,0.69,0.04784692308,0.04784692307692308,3.076920662703486e-12,0.332498,0.332498,0.0,0.000552,0.000552,0.0
query_53,1.2345,4.91997,0.268,0.0009496153846,0.0009496153846153846,1.538461198713481e-14,0.61499625,0.61499625,0.0,0.0002144,0.0002144,0.0
query_54,12.7205,1.7999905,0.0675,0.009785,0.009785,0.0,0.2249988125,0.2249988125,0.0,5.4e-05,5.4000000000000005e-05,6.776263578034403e-21
query_55,182.704,0.176195,32.6655,0.1405415385,0.14054153846153847,3.8461539508816145e-11,0.022024375,0.022024375,0.0,0.0261324,0.0261324,0.0
query_56,2619.9165,23.969966,440.93775,2.015320385,2.0153203846153844,3.846154505993127e-10,2.99624575,2.99624575,0.0,0.3527502,0.3527502,0.0
query_57,68.8468,4.5159922,10.3828,0.05295907692,0.05295907692307692,3.076920662703486e-12,0.564499025,0.564499025,0.0,0.00830624,0.00830624,0.0
query_58,6331.0,27.6599915,32.302,4.87,4.87,0.0,3.457498938,3.4574989375,5.000000413701855e-10,0.0258416,0.0258416,0.0
