query,min,max_estimate,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum_estimate,max.1,powermean_estimate,multiwave_estimate,sum_qerror,cpu_only_qerror,powermean_qerror,max_offset_qerror,powermean_offset_qerror,multiwave_offset_qerror,type,short,complex,long,scans,aggs,joins,mem,ssd,net,cpu,factor,extra,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,sum_rel_error,cpu_only_rel_error,powermean_rel_error,max_offset_rel_error,powermean_offset_rel_error,multiwave_offset_rel_error
89.0,1.712845466,4.601471472,2.853893088,0.363,1.339985,3.710666667,74.13133333,0.3236666667,4.789,0.619,0.01853283333,0.0837490625,0.0038312,0.2,0.0837490625,0.0875802625,0.08999247514,1.815,1.279299381,4.033670587,1.222449208,1.239648692,1.233003478,,1.0,0.0,0.0,4.0,1.0,3.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.016117125,2.037315457,,0.3,0.3,-0.4490358127,0.222449208,-0.7520868453,0.222449208,0.2396486919,0.233003478
90.0,1.836048889,3.540823546,2.452702681,0.3106666667,0.29999,1.532,0.771,0.1276666667,0.0,0.0006666666667,0.00019275,0.018749375,0.0,0.2,0.018749375,0.018749375,0.01876240161,1.553333333,1.420194534,16.55793715,1.219150349,1.21919228,1.219150349,,1.0,0.0,0.0,8.0,2.0,6.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,2.351379243,450.0,,0.3,0.3,-0.356223176,0.2191503487,-0.9396060034,0.2191503487,0.2191922799,0.2191503487
,,,,,,,,,,,,,,0.2,,0.0,,,,,,,,,1.0,0.0,0.0,7.0,1.0,6.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,,,,0.3,0.3,,,,,,
92.0,1.528944127,1.536334296,1.532639212,0.337,0.335999,0.245,0.048,0.026,0.008,0.0405,1.2e-05,0.0209999375,6.4e-06,0.2,0.0209999375,,0.02100020322,1.685,1.524887309,16.04746375,1.130563613,1.130564401,,,0.0,0.0,0.0,6.0,2.0,5.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,,,,0.3,0.3,,,,,,
93.0,1.675788243,2.296921369,1.928628183,0.58825,1.344991,3.52025,28.3595,0.50275,7.312,0.4545,0.007089875,0.0840619375,0.0058496,0.2,0.0840619375,0.0899115375,0.0864465011,2.94125,2.070851185,6.804786689,1.324702593,1.317627081,1.307479251,,0.0,0.0,0.0,3.0,1.0,2.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.637142872,1.486024504,,0.3,0.3,-0.6600084998,-0.2451135784,-0.853044622,-0.2451135784,-0.2410599216,-0.235169507
94.0,1.823580001,2.150855416,1.912263011,0.61725,2.259986,2.109,797.773,0.25025,0.072,0.25925,0.19944325,0.141249125,5.76e-05,0.340749975,0.19944325,0.2726115,0.2723806998,1.811445474,1.808795847,2.266129724,1.103329069,1.024513082,1.024886999,,1.0,0.0,0.0,8.0,3.0,5.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.995777223,1.157406365,,0.3,0.3,-0.447954678,-0.1879317537,-0.5587189959,-0.09365208586,0.02451308187,0.02488699878
95.0,1.526833596,1.71412543,1.620479513,0.369,0.219996,0.7795,2.272,0.075,0.258,0.191,0.000568,0.01374975,0.0002064,0.2,0.01374975,0.01395615,0.01384341277,1.845,1.726317809,26.65527685,1.012871951,1.01312578,1.013431301,,1.0,0.0,0.0,7.0,3.0,6.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,4.007573333,1.571761257,,0.3,0.3,-0.4579945799,0.01287195122,-0.9624839762,0.01287195122,0.01312577987,0.01343130081
96.0,,,1.957146565,0.616,2.409988,6.654,0.785,0.5545,0.0,0.0,0.00019625,0.15062425,0.0,0.2,0.15062425,0.15062425,0.1506289725,3.08,1.756866503,4.089518701,1.206366521,1.206355364,1.206366521,,0.0,0.0,0.0,1.0,1.0,0.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.847125006,,,0.3,0.3,-0.6753246753,-0.1710645292,-0.7554724472,-0.1710645292,-0.1710568628,-0.1710645292
97.0,,,3.048529476,1.7965,12.61997575,17.3885,836.317,1.049,0.0,0.0,0.20907925,0.7887484844,0.0,0.9978277344,0.7887484844,0.7982621875,0.8589717911,1.800410971,1.816943367,2.091454013,1.563875839,1.473783079,1.551030517,,0.0,0.0,0.0,4.0,3.0,2.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,2.060582905,,,0.3,0.3,-0.4445712583,-0.3605630479,-0.52186374,-0.3605630479,-0.3214740934,-0.3552673601
98.0,,,5.33871362,1.95075,18.86499475,8.674,69.918,0.04825,8.899,0.0755,0.0174795,1.179062172,0.0071192,1.203660872,1.179062172,1.186181372,1.180849133,1.620680746,1.414548263,1.651989187,1.267492656,1.266022713,1.261656644,,0.0,0.0,1.0,1.0,1.0,0.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,6.57988601,4.067803974,,0.3,0.3,-0.3829753316,-0.2110407936,-0.3946691614,-0.2110407936,-0.2101247554,-0.2073913255
99.0,,,2.307103518,0.669,1.76998,11.142,418.5375,0.63575,0.62,0.60825,0.104634375,0.11062375,0.000496,0.215754125,0.11062375,0.1727025,0.1709013688,3.10075184,2.153731001,3.914538571,1.42151772,1.260121068,1.255860447,,0.0,0.0,0.0,6.0,1.0,5.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.571171505,2.0241534,,0.3,0.3,-0.677497571,-0.2965265321,-0.7445420496,-0.2965265321,-0.2064254577,-0.2037331839
