query,min,max_estimate,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum_estimate,max.1,powermean_estimate,multiwave_estimate,sum_qerror,cpu_only_qerror,powermean_qerror,max_offset_qerror,powermean_offset_qerror,multiwave_offset_qerror,type,short,complex,long,scans,aggs,joins,mem,ssd,net,cpu,factor,extra,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,sum_rel_error,cpu_only_rel_error,powermean_rel_error,max_offset_rel_error,powermean_offset_rel_error,multiwave_offset_rel_error
1,,,2.433730141,0.6405,0.7599895,4.629,478.112,0.6215,330.311,0.9215,0.3677784615,0.0949986875,0.2642488,0.727025949,0.3677784615,0.6522486279,0.5321135089,1.135091255,2.171196101,1.203690546,1.136266138,1.392839202,1.580403791,,1,0,0,8,4,6,4000,1300,1250,8,1.5,0.36,1.074462529,1.633144811,,0.3,0.3,0.1350912553,-0.2896195355,-0.1692216878,0.1362661382,0.3928392021,0.5804037906
2,,,4.648185756,2.66975,17.529987,31.67475,6317.748,7.90275,0.129,2.63,4.859806154,2.191248375,0.0001032,7.051157729,4.859806154,5.688677763,5.796914184,2.641130341,1.116467042,2.171332216,1.955166646,2.306176303,2.265634521,,0,1,0,7,1,4,4000,1300,1250,8,1.5,0.36,1.531598235,8.76365197,,0.3,0.3,1.641130341,-0.04438678715,1.171332216,0.9551666463,1.306176303,1.265634521
3,,,1.327017539,2.246,5.219991,1.1045,0.093,0.1575,0.03,0.155,0.00007153846154,0.652498875,0.000024,0.6525944135,0.652498875,0.652522875,0.6524994714,3.441647605,2.634607582,3.442148382,2.21827407,2.218272763,2.21822149,,0,0,0,1,1,0,4000,1300,1250,8,1.5,0.36,1.905216117,1.93563871,,0.3,0.3,-0.70944149,-0.5491990761,-0.7094837616,-0.5491990761,-0.5491988106,-0.5491883905
4,,,25.25379831,23.16475,115.3498815,27.93975,21442.85425,3.133,10496.2165,6.266,16.49450327,14.41873519,8.3969732,39.31021166,16.49450327,33.12756397,27.7361814,1.696984067,1.584593311,1.197344301,1.374395295,1.02288515544029,1.44562596,1,0,0,1,18,18,17,4000,1300,1250,8,1.5,0.36,5.36051812,1.387962528,,0.3,0.3,0.6969840666,-0.3620162019,0.1973443013,-0.2724072883,0.2128851554,0.4456259604
5,,,2.544541814,0.709,0.209989,2.347,2021.334,0.472,1.111,0.1,1.554872308,0.026248625,0.0008888,1.582009733,1.554872308,1.555761108,1.557159271,2.231325434,3.133720702,2.196275418,2.700807204,2.704032822,2.702060801,1,1,1,0,13,4,6,4000,1300,1250,8,1.5,0.36,3.929814211,3.008888,,0.3,0.3,1.231325434,-0.4552205571,1.196275418,1.700807204,1.704032822,1.702060801
6,,,1.468234205,0.2813333333,0.4599943333,0.4436666667,89.529,0.06366666667,4.057,0.08766666667,0.06886846154,0.05749929167,0.0032456,0.2,0.06886846154,0.1043398026,0.1008895762,1.406666667,1.09255964,2.788527258,1.524413963,1.638233091,1.650496929,,1,0,0,8,4,6,4000,1300,1250,8,1.5,0.36,5.793745469,3.459075285,,0.3,0.3,-0.2890995261,0.4840022216,-0.6413877623,0.5244139628,0.6382330908,0.6504969285
7,,,1.920278477,0.4866666667,1.853320333,4.853,55.228,0.4043333333,10.993,0.04166666667,0.04248307692,0.2316650417,0.0087944,0.2829425186,0.2316650417,0.2404594417,0.244752596,1.720019561,1.127417372,1.988402471,1.215750086,1.24264232,1.233820771,,1,0,0,5,1,4,4000,1300,1250,8,1.5,0.36,1.180593613,7.4110656,,0.3,0.3,-0.4186112632,0.2157500856,-0.4970837069,0.2157500856,0.2426423205,0.2338207705
8,,,1.902738234,0.258,0.299987,1.792,228.283,0.1505,7.792,0.2475,0.1756023077,0.037498375,0.0062336,0.2193342827,0.1756023077,0.1867747019,0.1877303689,1.176286702,1.086323222,1.374311474,2.075977937,2.122985926,2.11928179,,1,0,0,6,2,4,4000,1300,1250,8,1.5,0.36,3.160148224,1.237307475,,0.3,0.3,-0.1498671213,0.540691376,-0.2723629113,1.075977937,1.122985926,1.11928179
9,,,4.126321143,5.797,2.8119848,1.0702,10492.031,0.3564,0,0,8.070793077,0.3514981,0,8.422291177,8.070793077,8.070793077,8.119622251,1.452870653,10.51136894,1.40065935,1.454337257,1.462760437,1.454337257,1,0,1,1,16,15,0,4000,1300,1250,8,1.5,0.36,23.48707373,,,0.3,0.3,0.4528706533,-0.8772644299,0.4006593499,0.4543372567,0.4627604367,0.4543372567
10,,,1.927261172,0.3736666667,0.639949,0.8896666667,6.684666667,0.1056666667,2.353333333,0.4003333333,0.005142051282,0.079993625,0.001882666667,0.2,0.079993625,0.08187629167,0.08105181394,1.868333333,1.334554194,4.610219667,1.177503011,1.180334917,1.182541369,,1,0,0,9,2,6,4000,1300,1250,8,1.5,0.36,2.887779665,1.32612229,,0.3,0.3,-0.4647636039,0.1775030107,-0.7830905961,0.1775030107,0.1803349169,0.1825413693
11,5.828559298,6.428923146,6.174351787,11.39975,68.38494725,9.64175,3444.503,1.12125,1673.915,2.4545,2.649617692,8.548118406,1.339132,12.5368681,8.548118406,10.29732088,9.83745175,1.099749389,1.303108791,1.158811274,1.279703466,1.117901833,1.069663767,,0,0,0,12,8,11,4000,1300,1250,8,1.5,0.36,2.630651231,1.497438888,,0.3,0.3,0.09974938911,-0.2185689681,-0.1370467115,-0.2185689681,-0.1054670716,-0.06512678972
12,,,4.127227612,1.808,2.359981,6.142,60.961,1.043,28.645,2.703,0.04689307692,0.294997625,0.022916,0.3648067019,0.294997625,0.317913625,0.3114913502,4.956049301,3.652542777,5.80433453,2.760315352,2.692514206,2.667006435,,0,0,0,3,1,2,4000,1300,1250,8,1.5,0.36,3.006690157,8.370597926,,0.3,0.3,-0.7982263817,-0.6377225525,-0.8277149611,-0.6377225525,-0.6285999169,-0.6250477738
13,,,2.756598047,2.136,7.559982,3.555,709.305,2.039,6.82,2.069,0.5456192308,0.94499775,0.005456,1.496072981,0.94499775,1.197949585,1.204583057,1.427737836,1.865505849,1.773227664,1.636784431,1.365219948,1.371032812,,0,0,0,1,1,0,4000,1300,1250,8,1.5,0.36,2.411250745,6.77347965,,0.3,0.3,-0.2995913011,-0.3890459972,-0.4360566213,-0.3890459972,-0.2675172955,-0.2706228536
14,23.60367274,23.95032211,23.76514171,9.985,65.8449345,41.3805,16220.37875,5.36875,4653.96,15.06825,12.47721442,8.230616813,3.723168,24.43099924,12.47721442,20.28943299,17.76395593,2.446770079,1.184373602,1.779064189,1.285649917,1.81511827,2.068045367,1,0,1,1,31,9,17,4000,1300,1250,8,1.5,0.36,2.379923525,3.745369321,,0.3,0.3,1.446770079,-0.1396477904,0.779064189,0.2856499172,0.8151182701,1.068045367
15,1.432204223,2.449184204,1.887694882,0.4885,0.4049865,1.324,289.10925,0.189,124.34,0.32575,0.2223917308,0.0506233125,0.099472,0.3724870433,0.2223917308,0.3299985452,0.2793407956,1.311455013,1.949140306,1.748759965,1.192204157,1.308783614,1.412484228,,1,0,0,4,1,3,4000,1300,1250,8,1.5,0.36,2.763977411,1.226314658,,0.3,0.3,-0.2374881407,-0.1594200358,-0.4281662321,0.1922041572,0.3087836144,0.4124842276
16,15.00996434,16.26252107,15.42835309,12.06875,52.904966,61.586,7914.945,8.273,2418.417,17.5095,6.088419231,6.61312075,1.9347336,14.63627358,6.61312075,12.09596558,10.64281647,1.212741467,1.771398225,1.133980843,1.730753049,1.096878243,1.03208415,3,0,0,1,8,3,5,4000,1300,1250,8,1.5,0.36,1.294999545,7.835162097,,0.3,0.3,0.2127414671,-0.4222168203,-0.1181508877,-0.4222168203,-0.08832178364,0.03208414994
17,2.143510051,2.475685486,2.376261934,0.69625,0.5499905,2.7255,535.413,0.35025,0.023,0.1025,0.4118561538,0.0687488125,0.0000184,0.4806233663,0.4118561538,0.411938226,0.4303751104,1.448639514,2.590709122,1.617774781,1.108590526,1.135188668,1.108708404,,1,0,0,8,1,7,4000,1300,1250,8,1.5,0.36,2.032422995,2.92700878,,0.3,0.3,-0.3096971399,-0.3842027828,-0.3818669869,0.1085905262,0.1351886684,0.1087084035
18,1.851353447,2.162728679,2.074028189,0.79375,0.97495625,3.2245,409.969,0.451,269.655,0.5815,0.3153607692,0.1218695313,0.215724,0.6529543005,0.3153607692,0.5726704111,0.4676838852,1.215628719,2.466061317,1.697193393,1.175297761,1.042751351,1.175017841,1,1,0,0,7,1,6,4000,1300,1250,8,1.5,0.36,1.364436295,1.127541088,,0.3,0.3,-0.1773804088,-0.3929202756,-0.4107919556,-0.1491517868,0.04275135145,0.1750178407
19,,,2.984096439,0.831,1.679988,4.088,29.872,0.577,19.715,0.63,0.02297846154,0.2099985,0.015772,0.2487489615,0.2099985,0.2257705,0.2178740604,3.340717464,2.026836684,3.814130047,1.457898573,1.438029593,1.418644333,,1,0,0,6,1,5,4000,1300,1250,8,1.5,0.36,1.786496837,1.995110396,,0.3,0.3,-0.7006631028,-0.3140812274,-0.7378170152,-0.3140812274,-0.3046040188,-0.2951016847
20,,,2.173693066,0.357,0.379987,1.221,65.35,0.203,17.849,0.219,0.05026923077,0.047498375,0.0142792,0.2,0.05026923077,0.09249328462,0.0816450294,1.785,1.442433713,4.372587072,1.149213532,1.237100923,1.267488192,,1,0,0,3,1,2,4000,1300,1250,8,1.5,0.36,1.725464191,1.43506484,,0.3,0.3,-0.4397759104,0.1414520308,-0.7713024387,0.1492135316,0.2371009227,0.2674881922
21,1.836035889,1.836035889,1.836035889,0.601,4.239984,6.16,34.229,0.522,10.015,0.501,0.02633,0.529998,0.008012,0.56434,0.529998,0.53801,0.5345573746,1.064960839,1.214638935,1.124294657,1.480861897,1.488448211,1.494193012,,1,0,0,4,1,3,4000,1300,1250,8,1.5,0.36,1.599607759,1.626560004,,0.3,0.3,-0.06099833611,0.4808618968,-0.1105534532,0.4808618968,0.4884482107,0.4941930116
22,4.902465312,5.63204319,5.213886867,3.86,23.349982,25.31775,1988.67625,2.8165,29.039,2.78425,1.529750962,2.91874775,0.0232312,4.471729912,2.91874775,3.582030169,3.618091274,1.158479252,1.237676244,1.066860869,1.177278734,1.030593594,1.021251339,,0,0,0,4,1,3,4000,1300,1250,8,1.5,0.36,1.539280514,8.61380337,,0.3,0.3,0.1584792517,-0.1505834845,-0.06267065437,-0.1505834845,0.03059359433,0.02125133918
23,22.72516795,23.95437312,23.32833856,21.21975,144.5649618,231.60625,17451.62875,17.40725,527.58775,20.8775,13.42432981,18.07062022,0.4220702,31.91702023,18.07062022,25.61803022,25.17001932,1.504118579,1.161413775,1.186160031,1.151331303,1.203125358,1.224238279,3,0,0,1,18,8,11,4000,1300,1250,8,1.5,0.36,1.26834973,28.91339374,,0.3,0.3,0.5041185795,-0.1314402753,0.1861600311,-0.1314402753,0.2031253583,0.224238279
24,8.896983935,9.229619727,9.035082755,7.144,44.83494975,63.8635,20394.317,5.8085,380.261,11.797,15.68793615,5.604368719,0.3042088,21.59651367,15.68793615,17.78597257,17.87479068,3.02302823,1.230797068,2.502070364,2.246351645,2.552462302,2.540029755,1,0,0,1,7,3,5,4000,1300,1250,8,1.5,0.36,2.75250687,19.52470735,,0.3,0.3,2.02302823,-0.1651219599,1.502070364,1.246351645,1.552462302,1.540029755
25,1.645060627,2.240357543,1.881799427,0.56525,0.27998975,2.30625,823.413,0.2265,0.003,0.22325,0.6333946154,0.03499871875,0.0000024,0.6683957341,0.6333946154,0.6333970154,0.6388674742,1.182478079,2.405332263,1.130238787,1.757442929,1.76712512,1.757447174,1,1,0,0,8,1,7,4000,1300,1250,8,1.5,0.36,4.120947529,1.343795745,,0.3,0.3,0.182478079,-0.3011964286,0.1302387868,0.7574429286,0.7671251202,0.7574471745
