query,min,max_estimate,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum_estimate,max.1,powermean_estimate,multiwave_estimate,sum_qerror,cpu_only_qerror,powermean_qerror,max_offset_qerror,powermean_offset_qerror,multiwave_offset_qerror,type,short,complex,long,scans,aggs,joins,mem,ssd,net,cpu,factor,extra,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,sum_rel_error,cpu_only_rel_error,powermean_rel_error,max_offset_rel_error,powermean_offset_rel_error,multiwave_offset_rel_error
1.0,1.757721208,1.834050825,1.795886017,0.391,0.2499905,1.131,119.817,0.167,82.869,0.21,0.02995425,0.007812203125,0.0662952,0.2,0.0662952,0.09794134688,0.08074530123,1.955,1.881506447,4.842387037,1.090269054,1.127225834,1.171205491,,1.0,0.0,0.0,8.0,4.0,6.0,4000.0,4000.0,1250.0,32.0,1.5,0.36,1.975773952,1.744262857,,0.3,0.3,-0.4884910486,-0.05930382832,-0.7934902782,0.09026905371,0.1272258344,0.1712054907
2.0,2.578898524,3.20443894,2.821929936,0.73675,7.3699875,8.2275,1589.008,1.935,0.129,0.6125,0.397252,0.2303121094,0.0001032,0.6276673094,0.397252,0.5021544875,0.506911564,1.17379062,1.712129368,1.453409337,1.027827621,1.176669921,1.170213081,,1.0,1.0,0.0,7.0,1.0,4.0,4000.0,4000.0,1250.0,32.0,1.5,0.36,2.775180279,2.040964575,,0.3,0.3,-0.1480593018,-0.1987619825,-0.311962587,0.02782762131,0.1766699206,0.1702130811
3.0,1.123033323,1.835562578,1.479297951,0.3445,0.2,0.2425,0.022,0.0345,0.006,0.0285,5.5e-06,0.00625,4.8e-06,0.2,0.00625,0.0062548,0.00625019745,1.7225,1.67030303,55.1182587,1.063134978,1.063135551,1.063148911,,1.0,0.0,0.0,1.0,1.0,0.0,4000.0,4000.0,1250.0,32.0,1.5,0.36,8.695811594,10.52648421,,0.3,0.3,-0.4194484761,0.06313497823,-0.9818571917,0.06313497823,0.06313555138,0.06314891147
4.0,7.466802935,7.98054152,7.707018749,5.41225,45.8399125,8.009,4168.302,0.891,2044.396,1.96875,1.0420755,1.432497266,1.6355168,4.110089566,1.6355168,3.615175013,2.873074773,1.316820452,3.315319489,1.883783204,2.712204678,1.67402562,1.361512382,1.0,0.0,0.0,0.0,18.0,18.0,17.0,4000.0,4000.0,1250.0,32.0,1.5,0.36,1.506257576,1.017170195,,0.3,0.3,-0.2405950269,-0.6688073785,-0.4691533516,-0.6312962631,-0.4026375772,-0.2655226546
,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,
,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,
9.0,1.834411946,2.863577331,2.427373043,0.8572,0.447989,0.2498,2632.744,0.083,0.0,0.0,0.658186,0.01399965625,0.0,0.6721856563,0.658186,0.658186,0.6595464613,1.275242921,4.005613911,1.299680993,1.18780448,1.189391579,1.18780448,,1.0,0.0,0.0,5.0,1.0,4.0,4000.0,4000.0,1250.0,32.0,1.5,0.36,11.54440964,,,0.3,0.3,-0.2158356787,-0.5636961546,-0.2305804231,0.1878044797,0.1893915788,0.1878044797
10.0,4476024.0,1.579901654,0.392,0.35998,0.337,1.884,0.048,0.592,0.123,,1.2e-05,0.01053125,9.84e-05,0.2,0.01053125,0.01062965,0.01053786006,1.7999,1.709864925,34.16063582,1.029310656,1.029329018,1.029584005,,1.0,0.0,0.0,6.0,2.0,4.0,4000.0,4000.0,1250.0,32.0,1.5,0.36,1.973254403,,,0.3,0.3,-0.4444135785,0.02931065615,-0.9707265402,0.02931065615,0.02932901846,0.02958400467
9.0,1.834411946,2.863577331,2.427373043,0.8572,0.447989,0.2498,2632.744,0.083,0.0,0.0,0.658186,0.01399965625,0.0,0.6721856563,0.658186,0.658186,0.6595464613,1.275242921,4.005613911,1.299680993,1.18780448,1.189391579,1.18780448,1.0,1.0,1.0,0.0,16.0,15.0,0.0,4000.0,4000.0,1250.0,32.0,1.5,0.36,11.54440964,,,0.3,0.3,-0.2158356787,-0.5636961546,-0.2305804231,0.1878044797,0.1893915788,0.1878044797
10.0,4476024.0,1.579901654,0.392,0.35598,0.337,1.884,0.048,0.592,0.123,,1.2e-05,0.01053125,9.84e-05,0.2,0.01053125,0.01062965,0.01053786006,1.7799,1.69086537,33.78105211,1.040876594,1.040895163,1.041153014,,1.0,0.0,0.0,9.0,2.0,6.0,4000.0,4000.0,1250.0,32.0,1.5,0.36,1.973254403,,,0.3,0.3,-0.4381706837,0.04087659419,-0.9703976064,0.04087659419,0.04089516283,0.04115301421
